f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,class
0.285,0.020,-0.974,0.382,0.188,-1.147,0.157,0.729,-1.393,-0.326,0.955,-0.926,-0.462,0.184,-0.244,-0.521,-0.195,-0.043,-0.720,-0.260,-0.072,-0.880,-0.076,-0.315,-0.949,-0.152,-0.240,-0.900,-0.195,-0.330,-0.902,-0.040,-0.317,-0.959,-0.119,-0.250,-0.944,-0.206,-0.150,-0.961,-0.143,-0.265,-0.922,-0.155,-0.214,-0.956,-0.182,-0.222,NearMiss
0.296,0.537,-0.780,0.280,0.524,-0.787,0.284,0.549,-0.793,0.351,0.630,-0.911,0.224,0.994,-0.941,-0.134,0.838,-0.799,-0.363,0.571,-0.627,-0.539,0.296,-0.455,-0.645,0.171,-0.373,-0.786,0.109,-0.368,-0.913,-0.001,-0.372,-0.940,-0.024,-0.340,-0.951,-0.058,-0.261,-0.957,-0.086,-0.242,-0.943,-0.143,-0.202,-0.926,-0.149,-0.189,NearMiss
0.211,0.438,-0.896,0.231,0.758,-1.005,-0.081,1.125,-0.988,-0.326,0.936,-0.624,-0.522,0.405,-0.220,-0.630,-0.023,-0.158,-0.718,-0.197,-0.169,-0.898,-0.115,-0.216,-0.952,-0.140,-0.273,-0.948,-0.208,-0.200,-0.873,-0.134,-0.322,-0.905,-0.142,-0.296,-0.957,-0.190,-0.160,-0.930,-0.237,-0.155,-0.936,-0.229,-0.214,-0.871,-0.238,-0.045,NearMiss
0.313,0.202,-0.920,0.321,0.193,-0.941,0.455,0.484,-1.020,-0.082,1.411,-0.930,-0.315,0.894,-0.318,-0.367,0.196,-0.229,-0.585,0.164,-0.226,-0.888,0.274,-0.223,-0.978,0.274,-0.267,-0.845,0.278,-0.134,-0.892,0.252,-0.195,-0.595,0.222,-0.306,-0.432,0.300,-0.142,-0.370,0.928,0.197,-0.206,1.319,0.065,0.002,1.558,-0.252,NearMiss
0.249,0.559,-0.776,0.234,0.598,-0.768,0.242,0.584,-0.770,0.272,0.624,-0.776,0.315,1.104,-0.684,-0.032,1.081,-0.572,-0.473,0.784,-0.576,-0.649,0.431,-0.536,-0.761,0.207,-0.260,-0.784,-0.010,-0.169,-0.727,-0.096,-0.245,-0.787,-0.110,-0.160,-0.978,-0.230,-0.288,-0.986,-0.135,-0.287,-0.931,-0.124,-0.200,-0.934,-0.131,-0.251,NearMiss
0.289,0.209,-0.925,0.291,0.202,-0.928,0.293,0.202,-0.927,0.301,0.203,-0.949,0.412,0.425,-1.041,-0.004,0.957,-1.254,-0.335,0.583,-0.773,-0.439,0.505,-0.555,-0.581,0.248,-0.428,-0.741,0.140,-0.347,-0.793,0.072,-0.117,-0.773,0.084,-0.511,-0.833,0.034,-0.395,-0.916,-0.013,-0.382,-0.922,0.174,-0.322,-0.895,0.128,-0.393,NearMiss
0.322,0.176,-0.925,0.325,0.190,-0.921,0.401,0.252,-1.041,0.563,0.393,-1.416,-0.075,0.483,-1.216,-0.400,0.323,-0.604,-0.541,0.221,-0.235,-0.685,0.126,-0.203,-0.771,0.107,-0.262,-0.693,0.433,-0.439,-0.862,0.343,-0.425,-0.858,0.295,-0.399,-0.840,0.272,-0.371,-0.854,0.288,-0.403,-0.775,0.398,-0.454,-0.815,0.268,-0.357,NearMiss
0.322,0.196,-0.922,0.327,0.200,-0.917,0.326,0.202,-0.918,0.331,0.185,-0.933,0.429,0.338,-0.988,0.115,0.994,-0.984,-0.217,0.893,-0.669,-0.346,0.715,-0.511,-0.442,0.392,-0.450,-0.652,0.159,-0.290,-0.802,0.259,-0.438,-0.898,0.286,-0.410,-0.886,0.173,-0.394,-0.810,0.135,-0.351,-0.840,0.079,-0.398,-0.883,0.066,-0.434,NearMiss
0.299,0.208,-0.926,0.307,0.207,-0.930,0.548,0.204,-1.128,0.338,0.808,-1.348,-0.204,0.705,-0.744,-0.410,0.527,-0.108,-0.556,0.151,0.095,-0.799,-0.059,0.074,-0.963,-0.168,0.111,-1.009,-0.167,0.184,-0.990,-0.051,0.214,-0.951,-0.040,0.180,-0.858,-0.135,0.135,-0.787,-0.064,0.132,-0.788,0.280,0.153,-0.708,0.367,-0.073,NearMiss
0.321,0.210,-0.918,0.333,0.203,-0.925,0.425,0.316,-1.044,0.187,0.711,-1.206,-0.182,0.636,-0.719,-0.367,0.535,-0.639,-0.508,0.365,-0.613,-0.691,0.310,-0.441,-0.720,0.390,-0.267,-0.757,0.392,-0.250,-0.868,0.180,-0.333,-0.878,0.301,-0.291,-0.893,0.241,-0.278,-0.943,0.196,-0.164,-0.960,0.181,-0.131,-0.955,0.142,-0.140,NearMiss
0.078,0.210,-0.963,0.068,0.223,-0.960,0.053,0.243,-1.000,0.011,0.375,-1.078,-0.172,0.568,-1.029,-0.556,0.849,-0.606,-0.678,0.605,-0.206,-0.627,0.467,-0.173,-0.649,0.387,-0.163,-0.752,0.443,-0.164,-0.887,0.458,-0.114,-0.815,0.409,-0.132,-0.892,0.445,-0.048,-0.868,0.389,-0.062,-0.870,0.455,-0.031,-0.917,0.484,-0.067,NearMiss
0.250,0.473,-0.841,0.244,0.494,-0.857,0.268,0.555,-0.921,0.165,0.722,-1.008,-0.126,0.720,-0.965,-0.325,0.566,-0.844,-0.440,0.358,-0.623,-0.571,0.185,-0.518,-0.661,0.019,-0.457,-0.730,-0.088,-0.447,-0.786,-0.195,-0.429,-0.873,-0.130,-0.469,-0.936,-0.163,-0.554,-0.901,-0.101,-0.506,-0.863,-0.129,-0.441,-0.849,-0.179,-0.356,NearMiss
0.291,0.007,-0.939,0.274,0.033,-0.957,0.316,-0.007,-0.991,0.458,0.249,-1.355,-0.035,0.759,-1.429,-0.322,0.533,-0.760,-0.478,0.052,-0.173,-0.555,-0.251,-0.041,-0.770,-0.330,-0.150,-0.873,-0.261,-0.309,-0.893,-0.332,-0.286,-0.808,-0.249,-0.330,-0.898,-0.253,-0.316,-0.936,-0.394,-0.078,-0.866,-0.294,-0.394,-0.921,-0.283,-0.102,NearMiss
0.267,0.368,-0.926,0.267,0.454,-0.973,0.204,0.626,-1.037,-0.021,0.646,-1.038,-0.261,0.542,-0.891,-0.455,0.339,-0.610,-0.611,0.091,-0.435,-0.722,-0.026,-0.427,-0.823,-0.099,-0.445,-0.872,-0.154,-0.438,-0.876,-0.158,-0.424,-0.858,-0.198,-0.358,-0.862,-0.198,-0.346,-0.870,-0.223,-0.326,-0.863,-0.223,-0.318,-0.872,-0.215,-0.309,NearMiss
0.226,0.082,-0.948,0.256,0.143,-1.048,0.220,0.522,-1.163,-0.177,1.087,-0.936,-0.435,0.803,-0.295,-0.450,0.479,-0.172,-0.457,0.339,-0.246,-0.729,0.462,-0.285,-0.848,0.404,-0.236,-0.895,0.418,-0.200,-0.809,0.407,-0.170,-0.882,0.400,-0.225,-0.691,0.476,-0.267,-0.509,0.384,-0.419,-0.457,0.437,-0.268,-0.384,0.419,-0.334,NearMiss
0.147,0.204,-0.979,0.100,0.245,-0.999,0.090,0.308,-1.082,-0.057,0.482,-1.119,-0.431,0.635,-0.719,-0.700,0.655,-0.214,-0.698,0.484,-0.068,-0.641,0.315,-0.108,-0.769,0.356,-0.062,-0.879,0.453,-0.018,-0.886,0.420,-0.037,-0.891,0.419,-0.009,-0.830,0.447,0.057,-0.821,0.453,0.012,-0.673,0.516,-0.092,-0.647,0.484,-0.105,NearMiss
0.303,0.082,-0.939,0.280,0.104,-0.958,0.389,0.155,-0.993,0.256,0.763,-1.169,-0.259,0.969,-1.002,-0.491,0.541,-0.532,-0.566,0.027,-0.268,-0.641,-0.189,-0.126,-0.793,-0.255,-0.127,-0.925,-0.226,-0.178,-0.946,-0.219,-0.200,-0.931,-0.179,-0.184,-0.951,-0.179,-0.215,-0.954,-0.164,-0.172,-0.986,-0.191,-0.159,-1.008,-0.195,-0.135,NearMiss
0.261,0.143,-0.948,0.258,0.166,-0.949,0.278,0.164,-0.970,0.423,0.278,-1.113,0.182,0.592,-1.217,-0.178,0.546,-1.035,-0.546,0.335,-0.585,-0.791,0.319,-0.200,-0.856,0.224,-0.085,-0.851,0.197,-0.201,-0.551,0.458,-0.373,-0.261,0.583,-0.637,-0.376,0.673,-0.688,-0.618,0.585,-0.594,-0.635,0.620,-0.501,-0.629,0.653,-0.477,NearMiss
0.072,0.245,-0.968,0.038,0.273,-0.942,0.072,0.318,-1.033,-0.033,0.586,-1.080,-0.400,0.864,-0.749,-0.630,0.738,-0.207,-0.646,0.499,-0.028,-0.687,0.356,-0.065,-0.796,0.361,-0.136,-0.909,0.319,-0.107,-0.932,0.279,-0.088,-0.864,0.269,-0.090,-0.886,0.330,-0.058,-0.891,0.298,-0.060,-0.884,0.301,-0.053,-0.914,0.287,0.006,NearMiss
0.239,0.443,-0.869,0.235,0.484,-0.886,0.241,0.572,-0.949,0.113,0.685,-1.026,-0.104,0.689,-1.009,-0.321,0.499,-0.782,-0.489,0.294,-0.603,-0.618,0.113,-0.485,-0.722,-0.010,-0.442,-0.791,-0.090,-0.413,-0.836,-0.156,-0.426,-0.872,-0.233,-0.393,-0.895,-0.251,-0.364,-0.886,-0.243,-0.332,-0.884,-0.279,-0.300,-0.865,-0.307,-0.290,NearMiss
0.259,0.032,-0.948,0.253,0.070,-0.973,0.361,0.127,-1.133,0.173,0.594,-1.386,-0.251,0.698,-0.993,-0.472,0.301,-0.274,-0.595,0.163,-0.086,-0.709,0.202,-0.285,-0.872,0.281,-0.277,-0.953,0.323,-0.228,-0.875,0.248,-0.178,-0.951,0.267,-0.175,-0.908,0.182,-0.243,-0.693,0.156,-0.289,-0.614,-0.016,-0.177,-0.499,0.253,-0.242,NearMiss
0.233,0.413,-0.885,0.224,0.449,-0.890,0.254,0.510,-1.008,0.138,0.703,-1.088,-0.146,0.672,-1.041,-0.356,0.473,-0.714,-0.533,0.172,-0.482,-0.657,-0.000,-0.436,-0.755,-0.117,-0.422,-0.823,-0.169,-0.387,-0.874,-0.150,-0.383,-0.918,-0.165,-0.304,-0.935,-0.165,-0.305,-0.911,-0.171,-0.299,-0.873,-0.183,-0.275,-0.828,-0.198,-0.239,NearMiss
0.306,0.400,-0.854,0.296,0.410,-0.860,0.310,0.435,-0.894,0.332,0.607,-1.058,0.120,0.652,-1.061,-0.085,0.571,-0.938,-0.303,0.426,-0.694,-0.510,0.227,-0.436,-0.666,0.106,-0.420,-0.835,0.084,-0.484,-0.919,0.056,-0.468,-0.935,0.089,-0.407,-0.908,0.052,-0.382,-0.874,0.046,-0.339,-0.888,0.005,-0.300,-0.873,-0.002,-0.317,NearMiss
0.172,0.165,-0.978,0.168,0.176,-0.965,0.165,0.193,-0.953,0.167,0.242,-0.980,-0.007,0.514,-1.022,-0.303,0.822,-0.991,-0.491,0.673,-0.739,-0.545,0.431,-0.376,-0.571,0.198,-0.301,-0.618,0.091,-0.388,-0.672,0.179,-0.746,-0.853,0.234,-0.595,-0.779,0.231,-0.597,-0.747,0.180,-0.536,-0.760,0.159,-0.546,-0.768,0.169,-0.579,NearMiss
0.321,0.226,-0.896,0.374,0.148,-0.801,0.304,0.264,-0.804,0.334,0.306,-0.774,0.352,0.814,-0.519,0.451,0.969,-0.573,0.637,0.928,-0.625,0.566,1.025,-0.863,0.227,1.018,-0.863,-0.163,0.744,-0.625,-0.423,0.375,-0.415,-0.512,0.156,-0.462,-0.598,0.002,-0.523,-0.706,-0.084,-0.530,-0.769,-0.170,-0.539,-0.761,-0.191,-0.550,NearMiss
0.223,0.157,-0.965,0.218,0.140,-0.955,0.225,0.154,-0.951,0.214,0.154,-0.939,0.223,0.119,-0.873,0.331,0.054,-0.749,0.561,0.263,-0.895,0.585,0.485,-0.954,0.287,0.665,-0.757,0.310,0.917,-0.747,0.046,1.024,-0.862,-0.221,0.855,-0.757,-0.327,0.766,-0.514,-0.494,0.344,-0.200,-0.621,0.127,-0.124,0.223,0.119,-0.873,NearMiss
0.226,0.212,-0.996,0.162,0.321,-1.113,-0.120,0.708,-1.150,-0.414,0.883,-0.711,-0.448,0.615,-0.253,-0.530,0.414,-0.002,-0.593,0.600,-0.448,-0.860,0.294,-0.366,-0.775,0.329,-0.246,-0.804,0.358,-0.189,-0.912,0.302,-0.249,-0.859,0.169,-0.544,-0.738,0.115,-0.681,-0.653,0.639,-0.297,-0.750,0.190,-0.624,-0.812,0.224,-0.636,NearMiss
0.491,0.443,-0.785,0.477,0.436,-0.786,0.529,0.494,-0.905,0.337,0.772,-1.078,-0.105,1.025,-0.831,-0.294,0.908,-0.413,-0.530,0.518,-0.215,-0.678,0.178,-0.274,-0.685,-0.142,-0.158,-0.758,-0.236,-0.158,-0.863,-0.266,-0.272,-0.956,-0.272,-0.311,-0.844,-0.294,-0.246,-0.842,-0.295,-0.226,-0.928,-0.301,-0.219,-0.936,-0.311,-0.239,NearMiss
0.410,0.331,-0.848,0.404,0.326,-0.837,0.427,0.314,-0.869,0.491,0.446,-1.036,0.212,0.806,-1.080,-0.137,0.927,-0.778,-0.368,0.764,-0.153,-0.466,0.521,0.096,-0.568,0.027,0.163,-0.875,-0.091,0.276,-1.028,0.103,0.471,-0.912,0.145,0.426,-0.808,0.128,0.327,-0.903,0.197,0.374,-0.948,0.225,0.348,-0.925,0.211,0.376,NearMiss
0.079,0.399,-0.977,0.038,0.410,-0.936,0.017,0.493,-0.945,-0.203,0.850,-0.971,-0.483,0.874,-0.671,-0.575,0.569,-0.363,-0.601,0.258,-0.313,-0.709,0.070,-0.357,-0.813,0.123,-0.405,-0.851,0.119,-0.423,-0.855,0.092,-0.403,-0.835,0.007,-0.444,-0.860,0.034,-0.481,-0.874,0.033,-0.448,-0.851,0.021,-0.438,-0.817,0.214,-0.439,NearMiss
0.207,0.302,-0.928,0.203,0.297,-0.933,0.200,0.278,-0.931,0.190,0.321,-1.000,0.042,0.563,-1.153,-0.162,0.758,-1.231,-0.382,0.639,-0.843,-0.454,0.324,-0.505,-0.655,-0.015,-0.354,-0.726,-0.016,-0.306,-0.674,0.168,-0.299,-0.474,0.832,-0.325,-0.878,0.473,-0.309,-1.022,0.047,-0.343,-0.554,0.702,-0.303,-0.889,0.443,-0.264,NearMiss
0.635,0.451,-0.621,0.622,0.476,-0.626,0.648,0.492,-0.673,0.825,0.569,-0.916,0.455,0.704,-0.924,-0.099,1.002,-0.670,-0.396,0.903,-0.424,-0.561,0.590,-0.238,-0.689,0.202,-0.205,-0.741,-0.093,-0.164,-0.699,-0.231,-0.210,-0.813,-0.286,-0.237,-0.909,-0.312,-0.275,-0.870,-0.320,-0.265,-0.862,-0.365,-0.234,-0.886,-0.354,-0.272,NearMiss
0.310,0.224,-0.995,0.276,0.253,-1.012,0.208,0.437,-1.095,-0.137,0.680,-0.885,-0.537,0.825,-0.282,-0.725,0.629,0.149,-0.652,0.462,0.109,-0.702,0.424,0.049,-0.814,0.448,0.024,-0.847,0.437,0.049,-0.805,0.388,-0.035,-0.870,0.467,0.010,-0.893,0.422,0.023,-0.897,0.441,0.019,-0.880,0.474,-0.009,-0.925,0.453,-0.026,NearMiss
0.291,0.279,-0.927,0.292,0.265,-0.930,0.334,0.311,-1.124,0.222,0.540,-1.248,-0.137,0.786,-0.867,-0.451,0.647,-0.333,-0.572,0.309,-0.040,-0.693,0.377,0.078,-0.863,0.327,0.066,-0.910,0.208,0.044,-0.908,0.167,0.093,-0.958,0.218,0.060,-0.996,0.110,0.073,-0.994,0.051,0.078,-0.977,0.009,0.080,-0.995,0.020,0.076,NearMiss
0.316,0.380,-0.931,0.266,0.546,-0.995,-0.144,1.055,-1.071,-0.374,0.892,-0.582,-0.358,0.582,-0.140,-0.495,0.506,0.066,-0.566,0.566,-0.257,-0.816,0.542,-0.233,-0.783,0.427,-0.118,-0.767,0.539,-0.007,-0.984,0.249,-0.362,-0.858,0.297,-0.329,-0.762,0.489,-0.206,-0.799,0.405,-0.325,-0.796,0.472,-0.318,-0.796,0.510,-0.316,NearMiss
0.218,0.541,-0.887,0.229,0.518,-0.855,0.202,0.536,-0.934,0.042,0.859,-1.197,-0.351,1.058,-0.989,-0.437,0.673,-0.456,-0.449,0.105,-0.108,-0.525,-0.229,-0.088,-0.760,-0.359,-0.228,-0.849,-0.258,-0.389,-0.864,-0.348,-0.333,-0.791,-0.286,-0.323,-0.831,-0.311,-0.384,-0.899,-0.400,-0.268,-0.884,-0.424,-0.177,-0.826,-0.365,-0.297,NearMiss
0.309,0.520,-0.789,0.308,0.512,-0.799,0.317,0.502,-0.819,0.348,0.513,-0.931,0.326,0.590,-1.110,0.019,0.636,-1.133,-0.230,0.500,-0.963,-0.319,0.304,-0.781,-0.328,0.083,-0.729,-0.436,-0.255,-0.599,-0.503,-0.419,-0.318,-0.600,-0.475,-0.262,-0.642,-0.300,-0.886,-0.520,-0.403,-0.840,-0.529,-0.545,-0.450,-0.455,-0.589,-0.552,NearMiss
0.566,0.414,-0.751,0.550,0.426,-0.739,0.599,0.424,-0.801,0.664,0.514,-0.966,0.194,0.912,-0.823,-0.316,1.178,-0.438,-0.470,0.843,-0.161,-0.592,0.422,-0.125,-0.602,0.030,-0.167,-0.663,-0.224,-0.154,-0.835,-0.242,-0.227,-0.894,-0.251,-0.279,-0.919,-0.246,-0.221,-0.931,-0.226,-0.250,-0.944,-0.233,-0.228,-0.947,-0.240,-0.258,NearMiss
0.235,0.412,-0.890,0.215,0.396,-0.877,0.257,0.399,-0.902,0.278,0.434,-1.061,0.095,0.645,-1.148,-0.247,0.715,-0.981,-0.482,0.623,-0.612,-0.601,0.329,-0.368,-0.676,0.124,-0.342,-0.740,-0.029,-0.382,-0.837,-0.087,-0.417,-0.817,-0.192,-0.427,-0.816,-0.279,-0.381,-0.790,-0.315,-0.385,-0.797,-0.338,-0.388,-0.798,-0.411,-0.396,NearMiss
0.322,0.360,-0.917,0.361,0.324,-0.992,0.373,0.395,-1.267,-0.065,0.787,-1.224,-0.390,0.654,-0.636,-0.460,0.239,-0.206,-0.651,-0.025,-0.110,-0.710,-0.202,-0.242,-0.831,-0.108,-0.393,-0.917,-0.107,-0.472,-0.943,-0.196,-0.222,-0.909,-0.168,-0.330,-0.912,-0.181,-0.355,-0.962,-0.169,-0.319,-0.968,-0.139,-0.458,-0.888,-0.223,-0.325,NearMiss
0.228,0.464,-0.895,0.185,0.526,-0.942,-0.050,1.080,-0.951,-0.411,1.281,-0.300,-0.447,0.724,0.120,-0.408,0.190,-0.077,-0.696,0.255,-0.109,-0.926,0.310,-0.146,-0.804,0.309,-0.119,-1.008,0.266,-0.222,-0.987,0.267,-0.168,-0.847,0.246,-0.133,-0.859,0.338,-0.278,-0.656,0.426,-0.298,-0.449,0.511,-0.301,-0.460,0.631,-0.115,NearMiss
0.329,0.198,-0.995,0.326,0.185,-1.030,0.232,0.361,-1.090,-0.089,0.689,-1.036,-0.356,0.635,-0.895,-0.476,0.342,-0.540,-0.550,0.040,-0.348,-0.661,-0.092,-0.405,-0.784,-0.113,-0.510,-0.817,-0.142,-0.510,-0.814,-0.086,-0.531,-0.802,-0.173,-0.478,-0.811,-0.124,-0.545,-0.817,-0.151,-0.566,-0.815,-0.136,-0.483,-0.816,-0.143,-0.507,NearMiss
0.330,0.273,-0.955,0.302,0.298,-0.972,0.202,0.596,-1.003,-0.224,1.012,-0.633,-0.495,1.045,-0.027,-0.600,0.687,0.241,-0.567,0.339,0.190,-0.579,0.257,0.010,-0.920,0.298,0.064,-1.024,0.349,0.031,-1.011,0.257,0.023,-0.979,0.214,0.004,-0.906,0.199,-0.012,-0.870,0.165,-0.000,-0.905,0.272,-0.098,-1.027,0.300,-0.110,NearMiss
0.473,0.150,-0.902,0.479,0.166,-0.933,0.460,0.193,-1.012,0.342,0.398,-1.137,-0.126,0.842,-0.893,-0.397,0.789,-0.392,-0.532,0.429,-0.076,-0.604,0.313,-0.110,-0.771,0.360,-0.123,-0.868,0.445,-0.104,-0.865,0.483,-0.046,-0.847,0.510,-0.015,-0.863,0.482,-0.060,-0.846,0.470,-0.039,-0.820,0.509,-0.049,-0.786,0.513,-0.051,NearMiss
0.300,0.342,-0.913,0.298,0.328,-0.921,0.249,0.409,-0.944,0.171,0.572,-0.923,-0.058,0.929,-0.854,-0.371,0.839,-0.542,-0.493,0.666,-0.345,-0.528,0.436,-0.282,-0.537,0.370,-0.440,-0.622,0.358,-0.633,-0.939,0.399,-0.532,-0.818,0.260,-0.482,-0.818,0.174,-0.438,-0.870,0.189,-0.506,-0.760,0.140,-0.449,-0.779,0.004,-0.463,NearMiss
0.106,0.346,-0.974,0.098,0.327,-0.950,0.148,0.310,-1.145,-0.068,0.536,-1.288,-0.488,0.718,-0.851,-0.554,0.558,-0.376,-0.557,0.082,-0.185,-0.634,-0.177,-0.177,-0.830,-0.157,-0.342,-0.927,-0.175,-0.316,-0.908,-0.226,-0.309,-0.880,-0.043,-0.397,-0.774,-0.183,-0.328,-0.829,-0.090,-0.418,-0.957,0.358,-0.583,-1.040,0.592,-0.728,NearMiss
0.272,0.386,-0.967,0.330,0.439,-1.253,-0.040,0.822,-1.353,-0.355,0.713,-0.555,-0.446,0.158,-0.138,-0.588,-0.159,-0.117,-0.898,-0.001,-0.338,-1.057,-0.226,-0.390,-0.828,-0.310,-0.366,-0.888,0.580,-0.705,-0.831,0.262,-0.573,-0.700,-0.290,-0.247,-0.763,-0.371,-0.126,-0.799,-0.547,-0.046,-0.822,-0.383,-0.211,-0.831,-0.530,-0.090,NearMiss
0.469,0.275,-0.943,0.467,0.310,-0.989,0.144,0.610,-1.001,-0.353,0.880,-0.726,-0.591,0.900,-0.366,-0.697,0.508,-0.160,-0.747,0.138,-0.213,-0.711,-0.105,-0.276,-0.775,-0.127,-0.188,-0.888,-0.209,-0.213,-0.871,-0.262,-0.260,-0.896,-0.293,-0.249,-0.933,-0.374,-0.313,-0.860,-0.370,-0.242,-0.850,-0.328,-0.248,-0.874,-0.316,-0.269,NearMiss
0.644,0.260,-0.716,0.686,0.278,-0.790,0.795,0.305,-0.909,0.636,0.522,-1.006,0.048,1.010,-0.520,-0.466,0.773,0.163,-0.549,0.498,0.234,-0.580,0.426,0.094,-0.689,0.485,0.019,-0.841,0.505,0.149,-0.854,0.490,0.162,-0.817,0.485,0.159,-0.839,0.502,0.173,-0.829,0.517,0.175,-0.758,0.531,0.190,-0.762,0.596,0.192,NearMiss
0.421,0.275,-0.979,0.451,0.244,-1.201,0.168,0.417,-1.445,-0.324,0.689,-1.056,-0.515,0.284,-0.321,-0.571,0.036,-0.070,-0.582,-0.220,-0.047,-0.727,-0.352,-0.171,-0.971,-0.297,-0.227,-0.685,-0.383,-0.251,-0.674,-0.281,-0.229,-0.912,-0.011,-0.367,-1.022,0.185,-0.575,-1.082,0.087,-0.569,-0.866,-0.229,-0.409,-0.807,-0.321,-0.300,NearMiss
0.326,0.289,-0.942,0.286,0.298,-0.931,0.323,0.305,-1.052,0.213,0.440,-1.186,-0.228,0.790,-0.933,-0.490,0.739,-0.585,-0.566,0.181,-0.280,-0.637,-0.150,-0.157,-0.829,-0.175,-0.153,-0.925,-0.090,-0.188,-0.929,-0.121,-0.202,-0.966,-0.137,-0.239,-0.945,-0.119,-0.236,-0.938,-0.147,-0.234,-0.947,-0.142,-0.261,-0.922,-0.162,-0.236,NearMiss
0.245,0.083,-0.976,0.252,0.086,-0.975,0.293,0.107,-1.081,0.080,0.586,-1.169,-0.361,0.836,-0.922,-0.496,0.600,-0.536,-0.560,0.145,-0.238,-0.634,-0.154,-0.192,-0.865,-0.103,-0.276,-0.932,-0.018,-0.355,-0.932,-0.039,-0.332,-0.933,-0.033,-0.301,-0.935,-0.035,-0.298,-0.940,-0.043,-0.315,-0.940,-0.052,-0.308,-0.933,-0.060,-0.315,NearMiss
0.304,0.131,-0.956,0.305,0.128,-0.933,0.301,0.169,-0.969,0.254,0.337,-1.059,-0.066,0.891,-0.698,-0.348,1.002,0.012,-0.391,0.628,0.295,-0.500,0.302,0.452,-0.660,0.211,0.584,-0.722,0.217,0.759,-0.655,0.258,0.757,-0.625,0.398,0.693,-0.636,0.449,0.687,-0.639,0.410,0.669,-0.657,0.308,0.650,-0.657,0.257,0.650,NearMiss
0.340,0.169,-0.920,0.339,0.171,-0.914,0.351,0.162,-0.950,0.384,0.187,-1.088,0.279,0.407,-1.206,-0.014,0.493,-1.096,-0.244,0.372,-0.829,-0.411,0.244,-0.607,-0.524,0.062,-0.520,-0.651,-0.048,-0.481,-0.712,-0.139,-0.603,-0.753,-0.170,-0.656,-0.800,-0.182,-0.667,-0.800,-0.218,-0.591,-0.783,-0.261,-0.525,-0.766,-0.297,-0.481,NearMiss
0.142,0.111,-1.001,0.113,0.129,-0.996,0.132,0.194,-1.073,0.071,0.262,-1.215,-0.178,0.261,-1.102,-0.395,0.257,-0.871,-0.525,0.189,-0.675,-0.632,0.047,-0.512,-0.717,-0.076,-0.476,-0.785,-0.108,-0.444,-0.816,-0.122,-0.428,-0.866,-0.140,-0.428,-0.906,-0.156,-0.375,-0.916,-0.169,-0.352,-0.908,-0.164,-0.315,-0.903,-0.145,-0.319,NearMiss
0.144,0.054,-1.008,0.145,0.061,-1.004,0.158,0.050,-1.078,0.044,0.375,-1.149,-0.408,0.755,-1.011,-0.619,0.397,-0.519,-0.632,-0.040,-0.205,-0.734,-0.179,-0.157,-0.873,-0.126,-0.197,-0.994,-0.092,-0.265,-0.954,-0.099,-0.173,-0.975,-0.145,-0.139,-0.979,-0.138,-0.148,-0.964,-0.134,-0.161,-0.969,-0.159,-0.187,-0.929,-0.154,-0.201,NearMiss
0.139,0.182,-1.008,0.098,0.194,-0.987,0.098,0.210,-0.994,0.032,0.433,-1.042,-0.187,0.584,-1.014,-0.347,0.490,-0.928,-0.462,0.242,-0.734,-0.555,0.108,-0.515,-0.704,-0.078,-0.469,-0.769,-0.173,-0.539,-0.806,-0.187,-0.587,-0.871,-0.218,-0.567,-0.834,-0.219,-0.505,-0.805,-0.257,-0.436,-0.795,-0.312,-0.392,-0.786,-0.364,-0.355,NearMiss
0.028,-0.186,-0.999,0.027,-0.182,-0.979,0.041,-0.165,-0.975,0.073,-0.222,-1.031,0.065,-0.231,-1.098,-0.106,-0.103,-1.119,-0.373,0.055,-0.915,-0.612,0.160,-0.690,-0.647,0.210,-0.515,-0.702,0.206,-0.497,-0.706,0.286,-0.572,-0.721,0.326,-0.675,-0.862,0.232,-0.697,-0.883,0.124,-0.586,-0.810,-0.019,-0.420,-0.756,-0.089,-0.334,NearMiss
0.076,0.180,-1.010,0.047,0.216,-1.010,0.017,0.351,-1.090,-0.235,0.540,-1.043,-0.438,0.530,-0.813,-0.562,0.352,-0.613,-0.624,0.209,-0.560,-0.676,0.058,-0.567,-0.698,-0.017,-0.587,-0.748,-0.085,-0.583,-0.768,-0.188,-0.554,-0.760,-0.271,-0.532,-0.771,-0.314,-0.504,-0.768,-0.371,-0.469,-0.759,-0.378,-0.442,-0.763,-0.404,-0.441,NearMiss
0.145,0.038,-1.007,0.128,0.043,-1.015,0.172,0.046,-1.093,0.017,0.351,-1.131,-0.379,0.687,-0.894,-0.623,0.469,-0.648,-0.685,0.060,-0.255,-0.709,-0.251,-0.165,-0.844,-0.190,-0.202,-0.944,-0.131,-0.280,-0.963,-0.147,-0.266,-0.967,-0.110,-0.205,-0.975,-0.066,-0.197,-0.953,-0.049,-0.187,-0.988,-0.037,-0.200,-1.002,-0.051,-0.195,NearMiss
