f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,class
-0.147,0.119,-0.967,-0.152,0.108,-0.965,-0.153,0.115,-0.961,-0.162,0.146,-0.962,-0.117,0.189,-1.105,-0.539,0.211,-1.206,-0.570,0.151,-0.863,-0.570,0.146,-0.532,-0.637,0.140,-0.419,-0.724,0.142,-0.518,-0.786,0.073,-0.563,-0.791,0.028,-0.538,-0.780,0.020,-0.543,-0.806,0.043,-0.578,-0.826,0.033,-0.576,-0.831,0.028,-0.560,NearMiss
-0.266,0.073,-0.961,-0.277,0.068,-0.939,-0.224,0.137,-0.981,-0.404,0.479,-0.946,-0.812,0.748,-0.429,-0.830,0.637,-0.044,-0.635,0.469,-0.200,-0.731,0.369,-0.153,-0.946,0.341,0.047,-0.928,0.324,0.025,-0.970,0.309,0.021,-0.913,0.315,-0.039,-0.739,0.440,-0.133,-0.767,0.374,-0.041,-0.731,0.420,-0.015,-0.722,0.506,0.037,NearMiss
-0.270,0.088,-0.955,-0.275,0.092,-0.940,-0.259,0.140,-0.958,-0.409,0.309,-0.998,-0.642,0.413,-0.868,-0.840,0.524,-0.590,-0.795,0.334,-0.463,-0.730,-0.024,-0.271,-0.837,-0.223,-0.263,-0.911,-0.238,-0.280,-0.947,-0.296,-0.190,-0.879,-0.326,-0.105,-0.809,-0.337,-0.131,-0.807,-0.399,-0.217,-0.847,-0.410,-0.282,-0.777,-0.381,-0.322,NearMiss
-0.459,0.641,-0.625,-0.449,0.632,-0.613,-0.469,0.658,-0.612,-0.480,0.697,-0.596,-0.627,0.671,-0.576,-0.730,0.595,-0.522,-0.787,0.398,-0.425,-0.800,0.256,-0.382,-0.832,0.136,-0.281,-0.889,0.064,-0.206,-0.967,0.018,-0.222,-0.999,0.032,-0.273,-0.972,-0.024,-0.197,-0.953,-0.028,-0.159,-0.938,-0.081,-0.125,-0.915,-0.057,-0.143,NearMiss
-0.131,-0.016,-0.968,-0.124,0.016,-0.982,0.038,0.136,-1.147,-0.475,0.381,-1.279,-0.756,0.397,-0.804,-0.705,-0.039,-0.283,-0.629,-0.222,-0.158,-0.749,-0.210,-0.194,-0.860,-0.180,-0.334,-0.944,-0.233,-0.337,-0.888,-0.212,-0.339,-0.885,-0.204,-0.388,-0.892,-0.267,-0.275,-0.897,-0.241,-0.261,-0.881,-0.284,-0.299,-0.856,-0.320,-0.435,NearMiss
-0.202,0.249,-0.934,-0.199,0.252,-0.932,-0.186,0.248,-0.927,-0.178,0.280,-0.927,-0.183,0.328,-0.924,-0.315,0.625,-1.116,-0.698,0.715,-0.873,-0.715,0.319,-0.376,-0.716,-0.020,-0.169,-0.733,-0.210,-0.191,-0.817,-0.235,-0.284,-0.896,-0.223,-0.275,-0.924,-0.182,-0.273,-0.949,-0.212,-0.273,-0.944,-0.189,-0.256,-0.913,-0.186,-0.254,NearMiss
-0.017,-0.227,-0.934,-0.025,-0.195,-0.971,0.054,-0.094,-1.116,-0.249,0.136,-1.074,-0.725,0.467,-0.814,-0.832,0.282,-0.410,-0.736,-0.073,-0.250,-0.773,-0.205,-0.267,-0.923,-0.078,-0.259,-0.972,-0.019,-0.239,-0.961,-0.065,-0.232,-0.966,-0.062,-0.166,-0.985,-0.058,-0.150,-0.961,-0.042,-0.183,-0.968,-0.039,-0.187,-0.978,-0.040,-0.172,NearMiss
-0.307,0.798,-0.505,-0.296,0.786,-0.500,-0.270,0.777,-0.518,-0.182,0.892,-0.540,-0.447,1.010,-0.291,-0.718,0.882,0.039,-0.803,0.606,0.161,-0.791,0.290,-0.019,-0.834,0.251,-0.133,-0.936,0.332,-0.093,-0.923,0.249,-0.104,-0.863,0.245,-0.034,-0.985,0.277,-0.095,-1.005,0.232,-0.180,-0.842,0.238,-0.075,-0.853,0.268,-0.126,NearMiss
-0.286,0.321,-0.894,-0.293,0.308,-0.912,-0.204,0.297,-1.063,-0.228,0.164,-0.891,-0.434,0.221,-0.646,-0.475,0.309,-0.789,-0.310,0.346,-0.824,-0.354,0.658,-0.790,-0.732,1.080,-0.314,-0.846,0.977,0.159,-0.659,0.732,0.275,-0.488,0.688,0.070,-0.579,0.475,0.162,-0.786,0.301,0.213,-0.915,0.431,0.026,-1.007,0.463,-0.102,NearMiss
-0.291,0.286,-0.893,-0.292,0.294,-0.889,-0.278,0.300,-0.890,-0.268,0.299,-0.893,-0.330,0.444,-0.993,-0.679,0.777,-0.747,-0.750,0.878,-0.177,-0.594,0.805,0.035,-0.474,0.786,-0.124,-0.702,0.569,-0.110,-0.849,0.439,-0.014,-0.909,0.368,-0.016,-0.964,0.429,-0.002,-0.785,0.286,-0.012,-0.810,0.408,-0.003,-0.867,0.454,-0.232,NearMiss
