Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumAttributesSelected,measureSelectionTime,measureTime,measureOutOfBagError
m_04081713,1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,432.0,49.0,45.0,4.0,0.0,91.83673469387755,8.16326530612245,0.0,0.8336162988115451,0.1422448979591836,0.2456270609302332,28.773708741558025,49.38135445151582,48.63394349167273,13.634682574866007,34.999260916806726,0.9925294590137292,0.27825882805848995,0.7142706309552393,35.48690824871425,0.724222617320699,72.96736744119966,0.9629629629629629,26.0,0.13636363636363635,3.0,0.8636363636363636,19.0,0.037037037037037035,1.0,0.896551724137931,0.9629629629629629,0.9285714285714286,0.8365160399561461,0.9747474747474747,0.9812109452914052,0.9183673469387755,0.0917680203394489,0.9082319796605511,0.08163265306122448,0.9205489092188599,0.9183673469387755,0.9178814382896017,0.8365160399561461,0.9747474747474746,0.9767120085830844,0.9166666666666667,0.9183673469387755,0.085,0.001,0.08081100000000001,0.001201,80.811,1.201,364013.0,146585.0,19046.0,100.0,73.46938775510205,?,10.0,25.0,84.0,-1.0
m_04081713,1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,47.0,1.0,0.0,97.91666666666667,2.0833333333333335,0.0,0.9578947368421051,0.07874999999999997,0.1722885177060077,15.899245793850316,34.56302804885137,47.78933736629518,10.074577447449146,37.714759918846035,0.9956111951311496,0.20988703015519053,0.7857241649759591,41.369339547350734,0.861861240569807,86.56604553911991,1.0,26.0,0.045454545454545456,1.0,0.9545454545454546,21.0,0.0,0.0,0.9629629629629629,1.0,0.9811320754716981,0.9587449708822046,0.9825174825174825,0.9805583268622347,0.9791666666666666,0.024621212121212124,0.975378787878788,0.020833333333333332,0.9799382716049383,0.9791666666666666,0.9791209594851544,0.9587449708822046,0.9825174825174825,0.9825246492725993,0.978938130759105,0.9791666666666666,0.075,0.001,0.071049,0.001011,71.049,1.011,362306.0,146918.0,18713.0,97.91666666666667,65.625,?,10.0,15.0,75.0,-1.0
m_04081713,1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,43.0,5.0,0.0,89.58333333333333,10.416666666666666,0.0,0.7938144329896909,0.16937499999999997,0.26882072712745453,34.19599690582092,53.92848261468818,47.78933736629518,16.161561808260796,31.627775558034383,0.9956111951311496,0.3366992043387666,0.6589119907923829,32.60377812404501,0.679245377584271,68.22395940362999,0.8076923076923077,21.0,0.0,0.0,1.0,22.0,0.19230769230769232,5.0,1.0,0.8076923076923077,0.8936170212765957,0.8112457445926345,0.9807692307692307,0.9858478081058727,0.8958333333333334,0.08814102564102565,0.9118589743589745,0.10416666666666667,0.9151234567901234,0.8958333333333334,0.8956071790418294,0.8112457445926345,0.9807692307692308,0.9821514230665703,0.8957881024750325,0.8958333333333334,0.072,0.002,0.070259,0.001382,70.259,1.382,348680.0,146918.0,18713.0,100.0,78.125,?,10.0,15.0,72.0,-1.0
m_04081713,1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.9160839160839161,0.09520833333333333,0.1980162030407276,19.222104041771416,39.72429312731306,47.78933736629518,9.158988207843127,38.63034915845205,0.9956111951311496,0.19081225433006513,0.8047989408010844,39.43273298294816,0.8215152704780867,82.51366341555354,0.9615384615384616,25.0,0.045454545454545456,1.0,0.9545454545454546,21.0,0.038461538461538464,1.0,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.916083916083916,0.9921328671328671,0.9926324316708933,0.9583333333333334,0.042249417249417255,0.9577505827505828,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9160839160839161,0.9921328671328671,0.991857135919636,0.9580419580419581,0.9583333333333334,0.084,0.001,0.07364100000000001,8.34E-4,73.641,0.834,374007.0,146918.0,18713.0,100.0,65.625,?,9.0,14.0,84.0,-1.0
m_04081713,1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,45.0,3.0,0.0,93.75,6.25,0.0,0.875,0.1177083333333333,0.22820403881906506,23.863967375473326,45.99489548057782,47.46765459119365,15.001572756072747,32.4660818351209,0.9889094706498677,0.31253276575151556,0.6763767048983521,37.19197915699541,0.774832899104071,78.35225792659111,0.8888888888888888,24.0,0.0,0.0,1.0,21.0,0.1111111111111111,3.0,1.0,0.8888888888888888,0.9411764705882353,0.8819171036881969,0.972663139329806,0.9830447330447329,0.9375,0.048611111111111105,0.9513888888888888,0.0625,0.9453125,0.9375,0.9377450980392158,0.8819171036881969,0.9726631393298059,0.9634882412135196,0.9372549019607843,0.9375,0.074,0.002,0.072468,0.001042,72.468,1.042,361746.0,146918.0,18713.0,97.91666666666667,69.79166666666667,?,10.0,15.0,74.0,-1.0
m_04081713,1,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,47.0,1.0,0.0,97.91666666666667,2.0833333333333335,0.0,0.9574468085106382,0.11354166666666667,0.1910769914633017,23.019225167491975,38.511878652883816,47.46765459119365,9.649889984240916,37.817764606952736,0.9889094706498677,0.20103937467168576,0.787870095978182,37.78445979430535,0.7871762457146948,79.60043553808796,1.0,27.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.0,0.0,0.9642857142857143,1.0,0.9818181818181818,0.9583148474999099,0.9964726631393298,0.9973055065647659,0.9791666666666666,0.026785714285714284,0.9732142857142856,0.020833333333333332,0.9799107142857143,0.9791666666666666,0.9791019955654102,0.9583148474999099,0.9964726631393299,0.9966727532397823,0.9787139689578714,0.9791666666666666,0.078,0.001,0.073999,0.001281,73.999,1.281,365796.0,146918.0,18713.0,100.0,73.95833333333333,?,10.0,17.0,78.0,-1.0
m_04081713,1,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.9153439153439155,0.08916666666666663,0.19565062398741964,18.077483250801027,39.43370173279944,47.46765459119365,9.476796685219638,37.99085790597401,0.9889094706498677,0.1974332642754091,0.7914762063744586,39.83627870960581,0.8299224731167877,83.92299778172811,0.9629629629629629,26.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.037037037037037035,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9153439153439153,0.9911816578483245,0.9942129629629629,0.9583333333333334,0.04298941798941799,0.957010582010582,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9153439153439153,0.9911816578483243,0.9915101931754892,0.9576719576719577,0.9583333333333334,0.071,0.001,0.070578,9.69E-4,70.578,0.969,366968.0,146918.0,18713.0,100.0,69.79166666666667,?,10.0,14.0,71.0,-1.0
m_04081713,1,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,44.0,4.0,0.0,91.66666666666667,8.333333333333334,0.0,0.8341968911917097,0.18479166666666666,0.2735910878178113,37.46431692397317,55.142729084541145,47.46765459119365,19.643631288501737,27.824023302691913,0.9889094706498677,0.40924231851045284,0.5796671521394149,31.569437336951225,0.6576966111864838,66.50726185828462,0.8518518518518519,23.0,0.0,0.0,1.0,21.0,0.14814814814814814,4.0,1.0,0.8518518518518519,0.92,0.8459051693633013,0.9620811287477954,0.9797165200391006,0.9166666666666666,0.06481481481481481,0.9351851851851851,0.08333333333333333,0.93,0.9166666666666666,0.9169565217391304,0.8459051693633013,0.9620811287477954,0.9549782880016009,0.9165217391304348,0.9166666666666666,0.071,0.001,0.06544499999999999,0.001239,65.445,1.239,344643.0,146918.0,18713.0,97.91666666666667,83.33333333333333,?,11.0,8.0,71.0,-1.0
m_04081713,1,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,46.0,2.0,0.0,95.83333333333333,4.166666666666667,0.0,0.9153439153439155,0.12229166666666659,0.23099873737028667,24.79318380425281,46.55817152261612,47.46765459119365,13.92478419560316,33.54287039559049,0.9889094706498677,0.2900996707417325,0.6988097999081352,36.83437560514595,0.7673828251072073,77.59889533699351,0.9629629629629629,26.0,0.047619047619047616,1.0,0.9523809523809523,20.0,0.037037037037037035,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9153439153439153,0.9770723104056437,0.9797344940814725,0.9583333333333334,0.04298941798941799,0.957010582010582,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9153439153439153,0.9770723104056437,0.9794054644287647,0.9576719576719577,0.9583333333333334,0.062,0.001,0.061787999999999996,0.001036,61.788,1.036,361628.0,146918.0,18713.0,97.91666666666667,70.83333333333333,?,9.0,7.0,62.0,-1.0
m_04081713,1,10,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0200409030100003E7,433.0,48.0,44.0,4.0,0.0,91.66666666666667,8.333333333333334,0.0,0.827027027027027,0.13749999999999993,0.260184229601514,27.87649286338476,52.44055498818154,47.46765459119365,15.52942861442054,31.93822597677311,0.9889094706498677,0.32352976280042794,0.6653797078494398,35.1020600375937,0.7312929174498688,73.94943006959933,1.0,27.0,0.19047619047619047,4.0,0.8095238095238095,17.0,0.0,0.0,0.8709677419354839,1.0,0.9310344827586207,0.8396839431738369,0.9753086419753086,0.9778537692825261,0.9166666666666666,0.10714285714285714,0.8928571428571429,0.08333333333333333,0.9274193548387096,0.9166666666666666,0.9151542649727767,0.8396839431738368,0.9753086419753085,0.9745078935996127,0.9128856624319419,0.9166666666666666,0.07,0.001,0.064649,6.860000000000001E-4,64.649,0.686,362674.0,146918.0,18713.0,97.91666666666667,67.70833333333333,?,11.0,7.0,70.0,-1.0
