-0.017,-0.009,-0.985,-0.047,0.022,-0.984,-0.072,-0.014,-1.092,-0.316,0.005,-1.099,-0.514,0.185,-0.585,-0.716,0.172,-0.356,-0.906,0.318,-0.352,-0.856,0.415,-0.278,-0.754,0.333,-0.384,-0.457,0.372,-0.560,NoTouching
0.010,0.030,-0.988,-0.011,0.033,-0.983,-0.067,0.225,-1.101,-0.398,0.600,-0.866,-0.510,0.574,-0.394,-0.590,0.442,-0.225,-0.899,0.410,-0.122,-0.874,0.451,-0.075,-0.827,0.496,-0.133,-0.800,0.513,-0.169,NoTouching
-0.014,0.058,-0.987,-0.011,0.045,-0.997,0.012,-0.075,-1.085,-0.154,-0.252,-1.129,-0.537,-0.252,-0.679,-0.650,-0.149,-0.371,-0.961,0.083,-0.117,-0.968,0.147,-0.154,-0.807,0.011,-0.306,-0.584,0.009,-0.550,NoTouching
0.026,0.072,-0.985,0.025,0.067,-0.983,0.034,0.094,-1.003,0.042,0.067,-1.110,-0.238,0.540,-0.816,-0.520,0.726,-0.269,-0.615,0.573,0.143,-0.736,0.495,0.336,-0.799,0.518,0.532,-0.751,0.565,0.343,NoTouching
0.001,-0.048,-0.997,0.016,-0.083,-1.082,-0.125,-0.292,-1.102,-0.444,-0.322,-0.838,-0.576,-0.239,-0.525,-0.797,-0.039,-0.182,-1.007,0.134,-0.069,-0.992,0.136,-0.086,-0.918,0.110,-0.155,-0.679,-0.003,-0.363,NoTouching
0.014,-0.026,-0.990,0.027,-0.011,-1.048,-0.081,0.300,-1.052,-0.442,0.637,-0.626,-0.609,0.591,-0.310,-0.756,0.403,-0.001,-0.889,0.394,0.132,-0.848,0.406,0.164,-0.659,0.493,-0.224,-0.419,0.496,-0.726,NoTouching
0.294,0.207,-0.920,0.299,0.199,-0.916,0.394,0.307,-0.988,0.139,0.709,-0.816,-0.369,0.701,-0.458,-0.626,0.648,0.062,-0.603,0.544,0.217,-0.648,0.618,0.587,-0.676,0.679,0.458,-0.567,0.735,0.156,NoTouching
0.258,0.212,-0.981,0.275,0.065,-1.157,-0.021,-0.087,-1.170,-0.326,-0.034,-0.753,-0.562,0.052,-0.466,-0.758,0.243,-0.446,-0.783,0.364,-0.501,-0.588,0.217,-0.542,-0.345,-0.092,-0.805,-0.076,-0.251,-1.009,NoTouching
0.282,0.175,-0.933,0.291,0.166,-0.936,0.316,0.411,-1.177,-0.294,0.670,-0.863,-0.583,0.498,-0.354,-0.647,0.411,-0.138,-0.717,0.366,-0.032,-0.645,0.376,-0.180,-0.505,0.342,-0.359,-0.501,0.555,-0.712,NoTouching
0.116,-0.078,-1.040,0.015,0.075,-1.196,-0.337,0.285,-0.984,-0.488,0.186,-0.546,-0.651,0.106,-0.483,-0.784,0.041,-0.472,-0.858,0.059,-0.622,-0.814,0.122,-0.526,-0.826,0.124,-0.528,-0.823,0.082,-0.630,NoTouching
0.278,0.142,-0.939,0.276,0.150,-0.945,0.291,0.203,-1.035,0.083,0.296,-1.165,-0.269,0.074,-0.892,-0.456,0.004,-0.583,-0.576,0.227,-0.592,-0.732,0.498,-0.644,-0.713,0.419,-0.632,-0.730,0.305,-0.710,NoTouching
0.023,0.128,-0.980,0.049,0.126,-1.104,-0.186,0.228,-1.200,-0.443,0.253,-0.765,-0.707,0.010,-0.430,-0.756,-0.014,-0.297,-0.828,0.005,-0.343,-0.774,0.049,-0.417,-0.593,0.118,-0.591,-0.478,0.068,-0.914,NoTouching
-0.003,0.192,-1.003,0.132,0.089,-1.122,-0.107,0.130,-1.041,-0.443,0.415,-0.593,-0.598,0.593,-0.402,-0.521,0.706,-0.517,-0.524,0.670,-0.502,-0.558,0.764,-0.446,-0.710,0.594,-0.240,-0.700,0.543,-0.342,NoTouching
0.009,-0.133,-0.977,0.036,-0.094,-0.952,-0.181,0.190,-0.917,-0.350,0.585,-0.766,-0.306,0.821,-0.442,-0.284,0.874,-0.480,-0.355,0.880,-0.456,-0.457,0.645,-0.416,-0.568,0.684,-0.416,-0.609,0.707,-0.378,NoTouching
0.066,-0.097,-0.976,-0.020,-0.004,-1.043,-0.306,0.273,-1.017,-0.259,0.629,-0.556,-0.167,0.790,-0.458,-0.251,0.888,-0.508,-0.276,0.991,-0.520,-0.550,0.609,-0.457,-0.711,0.312,-0.464,-0.801,0.207,-0.478,NoTouching
0.220,0.115,-0.983,0.200,0.079,-0.985,-0.080,0.399,-1.115,-0.236,0.454,-0.761,-0.129,0.701,-0.408,-0.239,0.888,-0.413,-0.259,0.982,-0.475,-0.496,0.813,-0.449,-0.707,0.462,-0.411,-0.776,0.268,-0.414,NoTouching
-0.112,0.309,-0.928,-0.121,0.335,-0.917,-0.019,0.569,-0.866,-0.259,0.501,-0.805,-0.489,0.496,-0.801,-0.694,0.355,-0.773,-0.705,0.083,-0.564,-0.757,-0.059,-0.521,-0.809,-0.181,-0.515,-0.801,-0.239,-0.501,NoTouching
-0.091,0.284,-0.936,-0.093,0.305,-0.944,-0.046,0.405,-0.920,-0.149,0.472,-1.054,-0.421,0.289,-0.873,-0.567,-0.013,-0.694,-0.689,-0.205,-0.596,-0.742,-0.308,-0.550,-0.767,-0.390,-0.493,-0.749,-0.402,-0.438,NoTouching
-0.105,0.297,-0.933,-0.104,0.299,-0.933,-0.055,0.381,-0.936,-0.110,0.464,-1.079,-0.422,0.233,-0.906,-0.566,-0.088,-0.638,-0.686,-0.244,-0.582,-0.738,-0.397,-0.527,-0.752,-0.433,-0.459,-0.739,-0.450,-0.403,NoTouching
