f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-1.008,-1.081,-0.866,-0.679,-0.939,-0.927,-0.903,-0.914,-0.631,-0.406,-0.263,-0.217,-0.193,-0.190,-0.225,-0.939,NearMiss
-0.993,-1.091,-0.876,-0.782,-0.925,-0.950,-0.816,-0.444,-0.264,-0.243,-0.315,-0.329,-0.224,-0.199,-0.224,-0.201,NearMiss
-1.010,-1.021,-0.774,-0.798,-0.825,-0.752,-0.756,-0.746,-0.595,-0.456,-0.368,-0.323,-0.319,-0.338,-0.315,-0.283,NearMiss
-0.979,-0.999,-1.037,-0.837,-0.766,-0.813,-0.760,-0.810,-0.900,-0.736,-0.536,-0.431,-0.421,-0.426,-0.435,-0.433,NearMiss
-0.984,-0.936,-0.915,-0.948,-0.974,-1.013,-1.057,-0.965,-0.739,-0.498,-0.254,-0.102,-0.066,-0.145,-0.150,-0.974,NearMiss
-0.936,-1.006,-1.197,-1.253,-0.790,-0.421,-0.471,-0.805,-0.909,-1.042,-0.976,-1.087,-1.113,-0.433,-0.203,-0.315,NearMiss
-0.920,-0.926,-0.963,-1.156,-1.274,-0.746,-0.205,-0.112,-0.037,-0.138,-0.157,-0.109,-0.093,-0.103,-0.100,-0.103,NearMiss
-0.939,-0.935,-1.007,-1.177,-1.059,-0.524,-0.095,0.086,0.195,0.114,0.357,0.195,0.213,0.237,0.237,0.234,NearMiss
-0.913,-0.920,-0.936,-1.027,-1.127,-0.893,-0.567,-0.258,-0.159,-0.202,-0.336,-0.294,-0.198,-0.220,-0.213,-0.225,NearMiss
-0.929,-0.934,-0.934,-0.933,-0.935,-0.930,-0.947,-0.919,-0.858,-0.929,-1.075,-0.737,-0.279,-0.112,-0.079,-0.132,NearMiss
-0.924,-0.942,-1.152,-1.490,-0.936,-0.282,-0.091,-0.138,-0.189,-0.222,-0.198,-0.201,-0.161,-0.264,-0.299,-0.117,NearMiss
-1.063,-1.240,-1.280,-0.915,-0.521,-0.518,-0.868,-1.004,-1.010,-1.221,-0.898,-0.375,-0.507,-0.635,-0.457,-0.395,NearMiss
-0.899,-0.921,-0.991,-1.059,-1.046,-0.851,-0.580,-0.430,-0.432,-0.467,-0.467,-0.464,-0.425,-0.396,-0.373,-0.364,NearMiss
-1.012,-0.965,-1.016,-1.074,-0.738,-0.273,-0.069,-0.037,-0.102,-0.109,-0.093,-0.099,-0.122,-0.138,-0.085,-0.080,NearMiss
-0.938,-0.984,-1.109,-1.013,-0.343,-0.146,-0.242,-0.267,-0.261,-0.206,-0.157,-0.248,-0.279,-0.397,-0.248,-0.236,NearMiss
-0.941,-0.968,-0.962,-0.995,-1.000,-0.632,-0.147,0.013,0.048,-0.046,0.000,0.068,0.040,0.062,0.098,0.133,NearMiss
-0.942,-0.975,-1.265,-1.524,-0.746,-0.152,-0.051,-0.163,-0.234,-0.293,-0.139,-0.242,-0.380,-0.275,-0.242,-0.227,NearMiss
-0.926,-0.931,-0.938,-1.058,-1.194,-1.121,-0.831,-0.532,-0.440,-0.430,-0.433,-0.428,-0.363,-0.338,-0.317,-0.320,NearMiss
-0.941,-0.957,-0.975,-1.157,-1.260,-0.687,-0.223,-0.196,-0.189,-0.168,-0.183,-0.221,-0.193,-0.181,-0.181,-0.194,NearMiss
-0.937,-0.967,-0.960,-0.996,-1.026,-0.763,-0.288,-0.121,-0.130,-0.187,-0.129,-0.129,-0.115,-0.151,-0.118,-0.134,NearMiss
-0.974,-1.147,-1.393,-0.926,-0.244,-0.043,-0.072,-0.315,-0.240,-0.330,-0.317,-0.250,-0.150,-0.265,-0.214,-0.222,NearMiss
-0.780,-0.787,-0.793,-0.911,-0.941,-0.799,-0.627,-0.455,-0.373,-0.368,-0.372,-0.340,-0.261,-0.242,-0.202,-0.189,NearMiss
-0.896,-1.005,-0.988,-0.624,-0.220,-0.158,-0.169,-0.216,-0.273,-0.200,-0.322,-0.296,-0.160,-0.155,-0.214,-0.045,NearMiss
-0.920,-0.941,-1.020,-0.930,-0.318,-0.229,-0.226,-0.223,-0.267,-0.134,-0.195,-0.306,-0.142,0.197,0.065,-0.252,NearMiss
-0.776,-0.768,-0.770,-0.776,-0.684,-0.572,-0.576,-0.536,-0.260,-0.169,-0.245,-0.160,-0.288,-0.287,-0.200,-0.251,NearMiss
