f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
0.047,-0.249,-0.826,-0.254,0.633,-0.602,-0.478,0.762,-0.595,-0.294,0.831,-0.717,-0.262,0.739,-0.784,-0.397,0.568,-0.606,-0.453,0.697,-0.381,-0.432,0.783,-0.442,-0.427,0.773,-0.510,-0.427,0.786,-0.453,NoTouching
-0.709,0.502,-0.472,-0.541,0.657,-0.573,-0.521,0.779,-0.541,-0.481,0.786,-0.461,-0.426,0.762,-0.454,-0.385,0.749,-0.463,-0.395,0.788,-0.479,-0.430,0.792,-0.484,-0.512,0.777,-0.498,-0.589,0.724,-0.528,NoTouching
-0.732,0.596,-0.424,-0.704,0.654,-0.389,-0.630,0.731,-0.417,-0.577,0.763,-0.459,-0.541,0.766,-0.464,-0.519,0.720,-0.471,-0.503,0.689,-0.491,-0.487,0.687,-0.510,-0.460,0.693,-0.524,-0.445,0.696,-0.553,NoTouching
-0.396,-0.090,-0.641,-0.556,0.228,-0.460,-0.620,0.797,-0.242,-0.620,1.021,0.037,-0.587,0.832,-0.059,-0.404,0.918,0.064,-0.478,0.768,0.095,-0.474,1.121,0.090,-0.507,0.721,-0.131,-0.506,0.842,-0.186,NoTouching
-0.231,0.643,-0.730,-0.130,0.631,-0.790,0.003,0.648,-0.858,-0.077,0.449,-0.923,-0.257,0.314,-0.865,-0.316,0.476,-0.641,-0.299,0.576,-0.807,-0.188,0.545,-0.861,-0.260,0.528,-0.823,-0.055,0.570,-0.830,NoTouching
-0.593,0.301,-0.735,-0.591,0.459,-0.762,-0.472,0.201,-0.830,-0.407,0.322,-0.640,-0.461,0.849,-0.493,-0.388,0.805,-0.478,-0.300,0.871,-0.445,-0.346,0.790,-0.535,-0.286,0.832,-0.523,-0.287,0.690,-0.782,NoTouching
-0.542,0.708,-0.839,-0.515,0.281,-0.752,-0.384,0.066,-0.762,-0.433,0.095,-0.847,-0.459,0.059,-0.807,-0.363,0.154,-0.825,-0.276,0.611,-0.807,-0.357,0.798,-0.508,-0.433,0.793,-0.686,-0.476,0.298,-0.894,NoTouching
-0.390,0.174,-0.916,-0.422,0.098,-0.900,-0.398,0.029,-0.889,-0.369,-0.065,-0.878,-0.318,-0.088,-0.837,-0.191,0.199,-0.879,-0.291,0.776,-0.677,-0.390,0.872,-0.414,-0.371,0.867,-0.264,-0.348,0.844,-0.402,NoTouching
-0.510,0.696,-0.157,-0.475,0.865,0.008,-0.493,0.824,0.250,-0.471,0.810,0.487,-0.444,0.813,0.522,-0.409,0.846,0.373,-0.386,0.895,0.331,-0.356,0.950,0.273,-0.340,0.921,0.157,-0.390,0.861,0.244,NoTouching
-0.334,0.905,-0.146,-0.339,0.829,-0.078,-0.346,0.925,-0.119,-0.377,0.954,-0.057,-0.458,0.853,0.148,-0.348,0.937,0.005,-0.309,0.997,-0.143,-0.305,0.885,-0.073,-0.365,0.915,0.267,-0.454,0.982,0.531,NoTouching
