f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
17.902,53.874,-31.585,0.236,0.709,-0.416,0.435,0.347,0.397,1.848,0.490,-0.956,1.000,0.000,2.000,0.243,0.616,-0.642,0.415,0.312,0.371,0.415,0.301,0.353,0.001,0.476,0.238,1.205,1.652,1.408,Touching
17.202,53.158,-43.747,0.226,0.699,-0.576,0.483,0.296,0.354,2.134,0.423,-0.614,1.000,0.000,3.000,0.361,0.625,-0.654,0.440,0.253,0.295,0.433,0.241,0.277,-0.398,0.771,0.553,1.578,2.234,2.131,Touching
17.331,46.661,-38.915,0.228,0.614,-0.512,0.467,0.432,0.331,2.047,0.703,-0.647,1.000,3.000,3.000,0.379,0.491,-0.635,0.434,0.364,0.296,0.430,0.342,0.274,-0.255,0.342,0.342,1.478,2.062,1.698,Touching
24.442,47.168,-32.079,0.322,0.621,-0.422,0.494,0.381,0.393,1.538,0.614,-0.932,1.000,0.000,2.000,0.628,0.509,-0.613,0.459,0.326,0.361,0.446,0.311,0.332,-0.394,0.713,0.366,1.441,2.049,1.533,Touching
21.126,54.428,-25.818,0.282,0.726,-0.344,0.414,0.453,0.416,1.468,0.624,-1.208,1.000,0.000,4.000,0.433,0.488,-0.615,0.391,0.383,0.387,0.386,0.356,0.372,-0.247,0.913,0.322,1.321,2.569,1.514,Touching
12.002,60.295,-30.565,0.160,0.804,-0.408,0.493,0.471,0.413,3.080,0.586,-1.014,1.000,0.000,1.000,0.223,0.651,-0.642,0.452,0.415,0.388,0.451,0.394,0.372,-0.351,0.668,0.193,1.545,1.845,1.331,Touching
3.076,50.607,-32.242,0.040,0.666,-0.424,0.463,0.370,0.361,11.447,0.555,-0.850,1.000,0.000,4.000,-0.137,0.542,-0.314,0.431,0.326,0.334,0.420,0.320,0.330,0.213,0.317,-0.008,1.369,1.813,1.474,Touching
15.920,36.860,-42.935,0.209,0.485,-0.565,0.473,0.571,0.387,2.258,1.177,-0.685,1.000,2.000,2.000,0.219,0.410,-0.643,0.437,0.447,0.337,0.437,0.437,0.328,-0.131,0.288,-0.028,1.504,2.333,1.774,Touching
-1.398,52.373,-27.878,-0.018,0.689,-0.367,0.484,0.306,0.429,-26.291,0.443,-1.170,1.000,0.000,4.000,-0.191,0.645,-0.254,0.433,0.265,0.398,0.408,0.263,0.393,0.248,0.206,-0.168,1.630,1.967,1.393,Touching
11.009,53.681,-33.982,0.145,0.706,-0.447,0.434,0.272,0.435,2.997,0.385,-0.973,1.000,0.000,2.000,0.091,0.721,-0.625,0.409,0.243,0.399,0.407,0.243,0.390,0.080,0.177,0.090,1.262,1.639,1.467,Touching
15.766,50.242,-36.067,0.210,0.670,-0.481,0.473,0.285,0.442,2.251,0.426,-0.920,1.000,0.000,1.000,0.224,0.596,-0.654,0.455,0.248,0.400,0.455,0.245,0.370,-0.040,0.611,0.339,1.162,2.063,1.542,Touching
22.828,52.047,-43.511,0.300,0.685,-0.573,0.405,0.290,0.271,1.347,0.423,-0.473,1.000,0.000,0.000,0.519,0.675,-0.667,0.371,0.266,0.239,0.356,0.266,0.221,-0.506,0.145,0.494,1.617,1.456,1.708,Touching
15.648,36.329,-49.339,0.206,0.478,-0.649,0.476,0.461,0.370,2.311,0.965,-0.570,1.000,1.000,0.000,0.290,0.382,-0.699,0.441,0.375,0.318,0.440,0.364,0.309,-0.218,-0.026,0.201,1.397,2.266,1.713,Touching
11.254,50.176,-31.491,0.150,0.669,-0.420,0.463,0.374,0.401,3.085,0.559,-0.956,1.000,0.000,2.000,0.089,0.416,-0.522,0.435,0.338,0.382,0.435,0.313,0.380,-0.108,0.654,0.037,1.323,1.836,1.280,Touching
6.379,46.249,-34.311,0.085,0.617,-0.457,0.445,0.508,0.456,5.232,0.825,-0.997,1.000,2.000,2.000,-0.047,0.499,-0.603,0.418,0.443,0.422,0.412,0.435,0.418,0.133,0.168,0.031,1.273,1.772,1.459,Touching
10.534,47.455,-43.260,0.139,0.624,-0.569,0.468,0.471,0.404,3.377,0.754,-0.710,1.000,2.000,0.000,0.209,0.458,-0.675,0.434,0.400,0.354,0.432,0.375,0.348,-0.114,0.548,-0.117,1.298,2.046,1.711,Touching
