f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-18.155,1.986,-52.970,-0.303,0.033,-0.883,0.063,0.183,0.085,-0.208,5.521,-0.096,0.000,1.000,0.000,-0.291,-0.056,-0.920,0.049,0.155,0.072,0.048,0.140,0.066,-0.039,1.038,0.636,2.530,2.710,2.360,NoTouching
-25.141,50.313,-6.578,-0.419,0.839,-0.110,0.073,0.137,0.110,-0.175,0.164,-1.004,0.000,0.000,2.000,-0.410,0.856,-0.102,0.063,0.116,0.093,0.062,0.115,0.093,0.047,-0.116,-0.074,1.938,1.988,2.048,NoTouching
-28.461,46.651,24.850,-0.474,0.778,0.414,0.078,0.059,0.196,-0.164,0.075,0.474,0.000,0.000,0.000,-0.476,0.795,0.418,0.073,0.049,0.159,0.073,0.047,0.158,-0.109,-0.352,-0.314,1.374,2.231,2.125,NoTouching
-20.975,45.351,26.899,-0.350,0.756,0.448,0.061,0.203,0.316,-0.174,0.268,0.706,0.000,0.000,2.000,-0.366,0.734,0.607,0.045,0.164,0.282,0.040,0.163,0.275,1.608,0.145,-0.295,5.184,2.772,1.759,NoTouching
-29.786,45.490,26.862,-0.496,0.758,0.448,0.054,0.090,0.300,-0.109,0.119,0.669,0.000,0.000,1.000,-0.461,0.739,0.447,0.051,0.081,0.237,0.045,0.079,0.237,-0.527,0.288,-0.900,1.536,1.676,2.816,NoTouching
-23.842,31.951,-38.316,-0.397,0.533,-0.639,0.068,0.203,0.125,-0.170,0.381,-0.195,0.000,0.000,0.000,-0.398,0.487,-0.628,0.050,0.154,0.108,0.050,0.147,0.107,0.338,1.280,0.269,2.984,4.417,1.978,NoTouching
-26.862,42.848,-21.578,-0.448,0.714,-0.360,0.088,0.252,0.308,-0.196,0.353,-0.857,0.000,0.000,1.000,-0.428,0.689,-0.468,0.070,0.193,0.258,0.069,0.191,0.249,-0.624,0.115,0.798,3.031,3.633,2.332,NoTouching
-30.410,32.102,40.217,-0.507,0.535,0.670,0.033,0.121,0.109,-0.065,0.227,0.163,0.000,0.000,0.000,-0.509,0.503,0.671,0.027,0.108,0.092,0.027,0.106,0.092,-0.150,0.376,-0.298,2.217,1.766,1.980,NoTouching
-23.460,30.645,-31.379,-0.391,0.511,-0.523,0.144,0.233,0.576,-0.368,0.457,-1.101,0.000,0.000,0.000,-0.415,0.499,-0.750,0.119,0.169,0.510,0.117,0.168,0.470,0.375,1.057,0.580,2.126,4.424,1.954,NoTouching
-24.643,23.999,-44.357,-0.411,0.400,-0.739,0.090,0.105,0.155,-0.219,0.264,-0.210,0.000,0.000,0.000,-0.417,0.424,-0.760,0.070,0.087,0.121,0.070,0.086,0.119,-0.572,-0.064,0.489,3.375,2.764,2.708,NoTouching
101.566,19.158,24.699,1.693,0.319,0.412,0.520,1.920,0.822,0.307,6.014,1.996,0.000,2.000,4.000,1.767,1.106,0.146,0.403,1.606,0.640,0.397,1.434,0.583,0.190,-0.925,1.022,2.998,2.629,2.919,NoTouching
106.696,26.251,53.722,1.778,0.438,0.895,0.510,1.714,0.848,0.287,3.918,0.947,0.000,2.000,4.000,1.838,1.447,0.828,0.447,1.464,0.637,0.447,1.255,0.631,-0.339,-1.082,0.963,1.852,2.758,3.615,NoTouching
96.341,25.012,50.739,1.606,0.417,0.846,0.475,1.749,0.945,0.296,4.195,1.118,0.000,2.000,4.000,1.653,1.340,0.725,0.402,1.460,0.701,0.402,1.293,0.676,-0.202,-0.963,1.155,2.100,2.860,3.898,NoTouching
84.435,48.122,28.267,1.456,0.830,0.487,0.671,2.192,1.101,0.461,2.642,2.260,0.000,1.000,3.000,1.370,1.416,0.214,0.491,1.702,0.863,0.479,1.556,0.785,1.068,-0.083,1.043,3.717,2.947,3.133,NoTouching
106.717,145.620,36.066,1.749,2.387,0.591,0.406,1.356,0.411,0.232,0.568,0.695,0.000,1.000,2.000,1.715,2.050,0.672,0.331,1.009,0.308,0.329,0.929,0.296,-0.529,0.923,-0.997,2.751,3.939,3.457,NoTouching
86.117,74.053,25.643,1.412,1.214,0.420,0.443,2.491,1.095,0.314,2.052,2.604,0.000,1.000,5.000,1.387,1.438,0.225,0.340,1.832,0.768,0.339,1.785,0.731,0.539,-0.098,0.704,3.148,2.880,3.927,NoTouching
93.072,25.363,45.701,1.501,0.409,0.737,0.462,1.946,0.661,0.308,4.756,0.897,0.000,2.000,4.000,1.621,1.340,0.616,0.367,1.608,0.502,0.358,1.422,0.489,-0.864,-1.121,0.635,3.078,3.130,2.886,NoTouching
84.106,25.779,42.723,1.379,0.423,0.700,0.448,1.755,0.663,0.325,4.153,0.947,0.000,2.000,2.000,1.324,1.433,0.556,0.363,1.500,0.493,0.358,1.286,0.467,0.530,-1.057,1.176,2.329,2.757,3.876,NoTouching
104.380,77.234,31.790,1.711,1.266,0.521,0.892,2.303,0.890,0.521,1.819,1.708,0.000,1.000,5.000,1.617,1.819,0.360,0.795,1.829,0.647,0.791,1.674,0.625,0.122,-0.494,0.573,1.713,2.642,3.643,NoTouching
99.965,144.478,3.573,1.612,2.330,0.058,0.616,1.600,0.613,0.382,0.687,10.643,0.000,0.000,6.000,1.456,1.771,0.232,0.472,1.046,0.354,0.439,0.903,0.325,1.045,2.694,-3.305,3.777,10.852,15.372,NoTouching
-4.016,-1.335,-58.492,-0.066,-0.022,-0.959,0.049,0.252,0.059,-0.747,-11.499,-0.062,2.000,1.000,0.000,-0.059,-0.082,-0.952,0.036,0.210,0.049,0.036,0.200,0.048,-0.959,0.698,-0.616,4.077,2.177,2.838,NoTouching
-7.365,18.881,-56.460,-0.121,0.310,-0.926,0.065,0.057,0.062,-0.538,0.183,-0.067,2.000,0.000,0.000,-0.149,0.316,-0.926,0.051,0.040,0.045,0.047,0.039,0.045,1.522,-1.127,-1.081,5.285,4.680,5.544,NoTouching
-7.177,17.579,-57.214,-0.118,0.288,-0.938,0.050,0.085,0.047,-0.422,0.295,-0.050,4.000,0.000,0.000,-0.124,0.308,-0.941,0.037,0.073,0.035,0.036,0.071,0.034,0.352,-0.380,0.243,4.216,2.120,3.524,NoTouching
-8.132,17.177,-57.595,-0.133,0.282,-0.944,0.031,0.080,0.046,-0.230,0.282,-0.049,1.000,1.000,0.000,-0.141,0.289,-0.940,0.020,0.053,0.027,0.019,0.052,0.027,2.478,-1.671,-1.293,11.096,6.952,7.849,NoTouching
-6.680,13.594,-57.837,-0.110,0.223,-0.948,0.064,0.048,0.073,-0.581,0.215,-0.077,3.000,0.000,0.000,-0.119,0.224,-0.946,0.047,0.039,0.054,0.047,0.039,0.054,0.176,0.022,-0.184,3.911,2.388,3.305,NoTouching
-7.650,14.908,-58.276,-0.125,0.244,-0.955,0.068,0.108,0.070,-0.545,0.440,-0.074,1.000,2.000,0.000,-0.143,0.262,-0.951,0.042,0.075,0.050,0.038,0.072,0.049,2.177,-1.221,-0.758,8.196,6.437,4.247,NoTouching
-7.543,15.618,-57.655,-0.124,0.256,-0.945,0.051,0.057,0.046,-0.416,0.222,-0.049,2.000,0.000,0.000,-0.117,0.249,-0.951,0.038,0.045,0.038,0.038,0.044,0.037,-0.383,0.279,0.064,3.974,2.991,2.541,NoTouching
-8.445,14.086,-57.252,-0.141,0.235,-0.954,0.045,0.076,0.052,-0.318,0.324,-0.055,0.000,0.000,0.000,-0.130,0.241,-0.950,0.033,0.054,0.042,0.032,0.054,0.041,-0.579,0.263,-0.234,4.287,4.093,2.859,NoTouching
-7.731,15.586,-57.446,-0.127,0.256,-0.942,0.075,0.063,0.076,-0.588,0.247,-0.081,2.000,0.000,0.000,-0.139,0.270,-0.937,0.051,0.047,0.054,0.050,0.045,0.053,0.830,0.792,-0.232,5.373,7.329,3.468,NoTouching
-8.694,17.847,-57.001,-0.143,0.293,-0.934,0.013,0.038,0.015,-0.092,0.128,-0.016,0.000,0.000,0.000,-0.142,0.294,-0.935,0.009,0.028,0.009,0.009,0.028,0.009,-0.765,0.331,-0.520,4.265,3.783,8.015,NoTouching
-21.496,54.124,1.194,-0.358,0.902,0.020,0.096,0.102,0.182,-0.267,0.114,9.134,0.000,0.000,0.000,-0.332,0.889,0.031,0.085,0.087,0.164,0.083,0.086,0.164,-0.306,0.337,0.041,1.699,1.933,1.451,NoTouching
-37.179,36.395,14.616,-0.620,0.607,0.244,0.088,0.233,0.099,-0.141,0.384,0.405,0.000,0.000,0.000,-0.591,0.546,0.223,0.072,0.201,0.074,0.066,0.196,0.070,-0.746,0.508,0.667,2.506,1.928,3.280,NoTouching
-34.977,36.361,-16.270,-0.583,0.606,-0.271,0.159,0.324,0.127,-0.273,0.534,-0.469,0.000,0.000,0.000,-0.584,0.572,-0.218,0.133,0.262,0.116,0.133,0.261,0.113,-0.111,0.447,-0.329,1.971,2.303,1.653,NoTouching
-20.076,11.443,-51.259,-0.335,0.191,-0.854,0.111,0.189,0.225,-0.331,0.990,-0.263,0.000,2.000,0.000,-0.283,0.199,-0.930,0.089,0.118,0.168,0.073,0.118,0.145,-1.376,0.870,1.369,3.783,4.985,3.951,NoTouching
-25.581,22.710,-45.022,-0.426,0.378,-0.750,0.081,0.145,0.081,-0.189,0.383,-0.108,0.000,0.000,0.000,-0.412,0.389,-0.754,0.064,0.121,0.063,0.063,0.121,0.062,-0.694,-0.024,0.409,2.990,2.288,2.909,NoTouching
-22.558,45.346,-30.629,-0.376,0.756,-0.510,0.035,0.119,0.110,-0.094,0.158,-0.216,0.000,0.000,0.000,-0.361,0.772,-0.509,0.029,0.095,0.083,0.029,0.094,0.083,-0.698,-0.224,0.443,2.381,2.306,3.645,NoTouching
-20.923,53.593,12.204,-0.355,0.908,0.207,0.016,0.037,0.052,-0.045,0.041,0.253,0.000,0.000,0.000,-0.361,0.910,0.201,0.012,0.027,0.040,0.012,0.027,0.040,1.169,-0.076,-0.006,4.220,3.328,3.347,NoTouching
-29.925,44.084,8.924,-0.499,0.735,0.149,0.111,0.443,0.184,-0.222,0.602,1.236,0.000,0.000,1.000,-0.484,0.736,0.174,0.090,0.334,0.148,0.089,0.334,0.147,-1.027,0.628,-0.535,4.232,3.756,2.636,NoTouching
-14.470,14.029,-54.163,-0.241,0.234,-0.903,0.071,0.157,0.089,-0.293,0.673,-0.098,0.000,0.000,0.000,-0.233,0.190,-0.889,0.063,0.139,0.080,0.063,0.135,0.079,-0.137,0.395,0.036,1.648,1.789,1.503,NoTouching
-16.724,30.890,-47.095,-0.279,0.515,-0.785,0.022,0.101,0.065,-0.078,0.196,-0.083,0.000,0.000,0.000,-0.283,0.507,-0.790,0.017,0.081,0.042,0.017,0.080,0.042,0.703,0.446,1.589,2.958,2.756,7.131,NoTouching
21.112,51.234,14.723,0.352,0.854,0.245,0.436,0.301,0.649,1.238,0.352,2.644,9.000,0.000,5.000,0.382,0.881,0.299,0.356,0.244,0.552,0.355,0.243,0.552,0.307,0.478,-0.143,2.428,3.036,1.976,NoTouching
21.865,41.513,44.359,0.364,0.692,0.739,0.429,0.246,0.628,1.176,0.355,0.849,6.000,0.000,6.000,0.339,0.751,0.732,0.339,0.216,0.514,0.338,0.212,0.514,0.263,-0.361,0.155,2.848,1.920,2.372,NoTouching
18.856,30.262,49.499,0.314,0.504,0.825,0.433,0.267,0.316,1.378,0.530,0.384,5.000,2.000,0.000,0.295,0.553,0.848,0.337,0.202,0.248,0.336,0.197,0.246,0.110,-1.033,0.174,2.738,4.858,2.682,NoTouching
14.549,43.861,35.753,0.242,0.731,0.596,0.497,0.228,0.518,2.049,0.312,0.869,6.000,0.000,3.000,0.241,0.713,0.587,0.407,0.192,0.439,0.407,0.191,0.438,0.226,0.289,-0.161,2.140,2.373,2.134,NoTouching
13.893,38.277,35.051,0.232,0.638,0.584,0.512,0.262,0.620,2.209,0.411,1.062,6.000,2.000,6.000,0.213,0.655,0.726,0.431,0.192,0.538,0.430,0.191,0.536,-0.042,-0.278,0.131,2.405,3.543,2.060,NoTouching
17.093,50.157,28.822,0.285,0.836,0.480,0.435,0.318,0.645,1.528,0.381,1.342,6.000,0.000,3.000,0.315,0.856,0.536,0.358,0.245,0.491,0.357,0.245,0.491,-0.292,0.453,-0.568,2.313,3.585,3.257,NoTouching
