f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.117,-0.356,-0.318,-0.240,-0.272,-0.232,-0.136,-0.155,-0.152,-0.129,0.028,0.076,0.056,0.032,0.051,-0.036,0.048,-0.016,-0.082,1.138,0.696,0.855,1.161,0.647,1.414,1.176,1.104,104.522,0.925,0.298,0.322,0.984,0.235,0.232,0.000,-0.742,3.130,NoTouching
-0.181,-0.169,-0.176,-0.141,-0.013,0.001,-0.095,-0.118,-0.140,-0.157,-0.197,-0.221,-0.275,-0.293,-0.254,-0.228,-0.092,-0.073,-0.136,0.886,1.113,1.008,1.021,1.090,0.904,0.947,1.015,72.140,0.638,0.192,0.301,0.626,0.161,0.161,0.000,-0.040,2.082,NoTouching
-0.175,-0.200,-0.187,-0.164,-0.108,-0.052,-0.088,-0.105,-0.101,-0.124,-0.165,-0.199,-0.176,-0.136,-0.083,-0.048,-0.133,-0.160,-0.164,0.774,1.085,1.059,0.994,1.026,0.956,0.922,1.103,62.095,0.550,0.242,0.441,0.551,0.208,0.208,0.000,0.269,2.105,NoTouching
-0.140,-0.206,-0.360,-0.302,-0.207,-0.211,-0.131,0.046,-0.081,-0.199,-0.163,-0.195,-0.123,-0.129,-0.139,-0.189,-0.280,-0.268,-0.272,0.411,1.321,1.234,1.403,0.821,0.597,0.674,0.954,76.963,0.681,0.307,0.450,0.556,0.275,0.255,0.000,0.439,1.739,NoTouching
-0.158,-0.164,-0.085,0.013,-0.071,-0.169,-0.230,-0.200,-0.197,-0.201,-0.251,-0.335,-0.319,-0.264,-0.203,-0.145,-0.129,-0.153,-0.213,0.593,0.750,0.964,1.076,1.075,0.985,0.952,0.891,88.659,0.785,0.177,0.225,0.816,0.144,0.140,0.000,-0.510,2.573,NoTouching
-0.137,-0.130,-0.141,-0.147,-0.196,-0.226,-0.264,-0.269,-0.283,-0.260,-0.257,-0.240,-0.244,-0.266,-0.264,-0.267,-0.300,-0.312,-0.280,0.984,0.908,0.923,0.944,1.063,1.038,1.026,1.035,95.023,0.834,0.128,0.154,0.810,0.113,0.112,0.000,0.016,1.942,NoTouching
-0.296,-0.298,-0.262,-0.222,-0.147,-0.132,-0.179,-0.224,-0.248,-0.287,-0.293,-0.300,-0.268,-0.237,-0.191,-0.147,-0.180,-0.199,-0.211,0.850,1.115,1.093,1.022,0.961,0.896,0.861,1.068,87.404,0.773,0.147,0.190,0.778,0.119,0.119,0.000,-0.039,2.287,NoTouching
-0.150,-0.134,-0.119,-0.143,-0.145,-0.133,-0.116,-0.104,-0.194,-0.226,-0.237,-0.143,-0.011,-0.129,-0.167,-0.238,-0.224,-0.172,-0.186,0.621,0.997,0.985,0.917,1.015,1.030,0.947,1.009,83.003,0.735,0.138,0.188,0.723,0.103,0.102,0.000,0.527,3.483,NoTouching
-0.161,-0.156,-0.146,-0.138,-0.133,-0.132,-0.136,-0.142,-0.153,-0.201,-0.248,-0.234,-0.191,-0.098,-0.125,-0.164,-0.183,-0.217,-0.237,0.426,1.048,1.028,1.011,1.011,1.010,1.011,1.019,56.948,0.504,0.184,0.366,0.524,0.151,0.151,0.000,0.127,2.248,NoTouching
-0.136,-0.155,-0.159,-0.148,-0.122,-0.108,-0.085,-0.096,-0.135,-0.142,-0.144,-0.151,-0.142,-0.122,-0.111,-0.121,-0.127,-0.137,-0.144,0.533,1.023,1.035,1.030,1.012,0.987,0.993,0.970,66.472,0.588,0.101,0.171,0.585,0.081,0.081,0.000,-0.001,2.553,NoTouching
0.760,1.347,1.950,1.325,0.996,2.282,2.540,2.307,1.887,1.579,1.224,1.029,1.258,1.181,0.482,0.600,2.421,2.957,3.027,1.741,1.098,1.683,2.211,1.610,1.737,3.154,3.428,62.728,0.555,1.377,2.481,0.713,0.989,0.966,2.000,-1.212,3.758,NoTouching
0.660,0.228,0.110,0.580,1.159,0.975,0.541,0.694,0.732,0.623,0.822,0.874,0.670,1.179,1.110,0.798,0.245,0.123,0.847,0.735,1.175,0.942,1.120,1.928,2.368,1.669,1.293,57.443,0.508,0.678,1.333,0.568,0.491,0.486,4.000,0.349,4.260,NoTouching
0.959,0.663,0.465,1.700,0.872,0.781,1.606,1.731,1.827,1.373,0.999,1.198,1.822,1.839,1.609,1.432,1.270,1.020,0.767,1.744,1.505,0.990,0.527,2.242,3.103,1.650,2.087,148.259,1.289,1.885,1.462,1.373,1.371,1.366,3.000,0.024,3.279,NoTouching
