f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
1.001,0.902,0.706,0.526,0.784,0.940,1.035,0.884,0.760,0.539,0.766,0.910,1.009,0.951,0.839,0.803,NoTouching
0.742,0.664,0.017,-0.613,-1.099,-0.876,-0.829,-0.887,-0.800,-0.190,0.203,0.142,-0.097,-0.306,-0.670,-0.885,NoTouching
-0.387,-0.858,-0.904,-0.648,-0.543,-0.356,0.107,0.457,0.503,0.353,0.472,0.709,0.876,0.901,0.805,0.715,NoTouching
-0.651,-0.579,-0.366,-0.113,0.222,0.339,0.563,0.700,0.686,0.644,0.413,-0.041,-0.463,-0.842,-0.747,-0.587,NoTouching
0.752,0.602,0.233,0.027,0.172,0.552,0.829,0.815,0.689,0.508,0.634,0.828,0.965,0.908,0.707,0.496,NoTouching
-0.724,-0.766,-0.769,-0.726,-0.705,-0.585,-0.565,-0.722,-0.507,-0.381,-0.285,-0.212,-0.108,0.095,0.168,0.254,NoTouching
1.005,0.972,0.939,0.889,0.822,0.834,0.854,0.716,0.485,0.646,0.889,1.014,0.902,0.746,0.633,0.691,NoTouching
0.822,0.911,0.891,0.806,0.675,0.768,0.821,0.821,0.763,0.750,0.789,0.829,0.878,0.934,0.981,0.974,NoTouching
-0.561,-0.533,-0.737,-1.306,-0.807,-0.140,-0.018,0.346,1.052,0.160,0.442,0.878,1.130,1.684,0.961,0.776,NoTouching
-0.918,-1.137,-1.947,-0.863,0.254,-0.491,-2.042,-1.441,-0.021,0.179,0.103,0.190,-0.209,-0.113,-0.406,-0.680,NoTouching
1.004,0.934,0.099,-0.069,1.543,0.525,-0.283,-0.149,-0.576,-3.281,-2.832,-0.645,-0.232,0.408,1.925,0.448,NoTouching
0.091,0.119,1.291,0.091,-0.007,0.444,0.564,0.906,0.598,0.507,-0.058,1.118,1.149,-0.024,0.832,1.381,NoTouching
0.615,1.093,2.894,2.086,0.721,0.292,0.448,1.575,0.100,0.685,1.089,0.664,1.440,1.270,0.805,1.114,NoTouching
0.625,0.464,1.755,2.213,0.742,0.788,0.633,1.996,1.458,0.203,0.823,0.564,1.214,1.855,1.206,0.530,NoTouching
1.295,1.003,1.860,2.394,1.322,1.075,0.813,1.268,1.418,-0.048,0.763,0.676,0.874,1.711,1.532,0.926,NoTouching
