f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.016,-0.012,0.005,0.018,-0.173,-0.638,-0.757,-0.679,-0.837,-0.924,-0.888,-0.851,-0.851,-0.783,-0.555,-0.343,Touching
-0.007,0.001,-0.029,-0.267,-0.563,-0.559,-0.625,-0.787,-0.872,-0.887,-0.855,-0.698,-0.654,-0.515,-0.350,-0.220,Touching
0.012,0.010,0.012,0.005,-0.178,-0.654,-0.738,-0.681,-0.782,-0.801,-0.813,-0.746,-0.726,-0.711,-0.693,-0.653,Touching
0.005,0.005,0.015,0.026,-0.027,-0.434,-0.703,-0.733,-0.704,-0.660,-0.985,-0.791,-0.790,-0.749,-0.710,-0.604,Touching
-0.001,-0.010,0.023,0.001,-0.322,-0.653,-0.672,-0.630,-0.631,-0.859,-0.797,-0.806,-0.768,-0.769,-0.687,-0.542,Touching
-0.009,-0.010,0.010,-0.033,-0.163,-0.561,-0.641,-0.588,-0.610,-0.882,-0.995,-0.922,-0.805,-0.839,-0.879,-0.999,Touching
-0.041,-0.042,-0.042,-0.039,-0.038,-0.084,-0.372,-0.486,-0.516,-0.725,-0.927,-0.931,-0.847,-0.883,-0.862,-0.849,Touching
-0.004,-0.022,-0.012,-0.051,-0.312,-0.696,-0.709,-0.646,-0.773,-0.940,-0.918,-0.944,-0.897,-0.935,-0.885,-0.876,Touching
-0.020,-0.018,-0.014,-0.043,-0.200,-0.600,-0.709,-0.700,-0.751,-0.874,-0.876,-0.965,-0.930,-0.779,-0.816,-0.948,Touching
-0.015,-0.008,-0.018,-0.047,-0.033,-0.062,-0.274,-0.697,-0.737,-0.700,-0.650,-0.778,-0.875,-0.848,-0.769,-0.808,Touching
-0.001,0.000,-0.007,-0.035,-0.252,-0.569,-0.678,-0.664,-0.762,-0.850,-0.898,-0.911,-0.879,-0.888,-0.901,-0.919,Touching
-0.102,-0.103,-0.107,-0.107,-0.122,-0.111,-0.050,-0.284,-0.710,-0.848,-0.688,-0.663,-0.876,-0.964,-0.968,-0.977,Touching
-0.053,-0.057,-0.057,-0.050,-0.050,-0.114,-0.333,-0.602,-0.764,-0.730,-0.652,-0.636,-0.646,-0.672,-0.677,-0.646,Touching
-0.022,-0.018,-0.022,-0.020,-0.023,-0.113,-0.487,-0.644,-0.589,-0.609,-0.835,-0.861,-0.781,-0.749,-0.581,-0.492,Touching
-0.031,-0.029,-0.025,-0.018,-0.024,-0.344,-0.685,-0.723,-0.745,-0.866,-0.959,-0.851,-0.815,-0.772,-0.564,-0.376,Touching
-0.024,-0.028,-0.024,-0.026,-0.024,-0.007,0.045,-0.088,-0.549,-0.838,-0.856,-0.752,-0.698,-0.678,-0.564,-0.544,Touching
-0.013,-0.016,-0.012,-0.011,-0.017,-0.026,-0.007,-0.051,-0.371,-0.643,-0.734,-0.772,-0.810,-0.884,-0.947,-0.949,Touching
-0.015,-0.020,-0.019,0.016,-0.007,-0.144,-0.578,-0.661,-0.612,-0.623,-0.722,-0.801,-0.898,-0.997,-0.908,-0.836,Touching
