f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.048,0.084,-0.021,-0.501,-0.466,-0.380,-0.185,-0.347,-0.785,-0.719,-0.618,-0.689,-0.851,-0.940,-0.952,-0.466,NearMiss
-0.061,0.004,-0.096,-0.431,-0.425,-0.222,-0.501,-0.756,-0.706,-0.676,-0.821,-0.953,-0.944,-0.937,-0.949,-0.981,NearMiss
-0.127,-0.183,-0.340,-0.280,-0.181,-0.204,-0.365,-0.570,-0.646,-0.673,-0.744,-0.831,-0.839,-0.938,-0.952,-0.946,NearMiss
-0.140,-0.136,-0.226,-0.394,-0.358,-0.234,-0.229,-0.258,-0.445,-0.552,-0.607,-0.678,-0.740,-0.782,-0.812,-0.806,NearMiss
0.012,0.034,0.015,0.011,0.002,0.005,-0.048,-0.240,-0.499,-0.757,-0.870,-0.916,-0.936,-0.954,-0.927,0.002,NearMiss
0.352,0.386,0.418,-0.094,-0.542,-0.596,-0.258,0.054,-0.113,-0.113,-0.078,-0.124,-0.115,-0.681,-0.896,-0.838,NearMiss
0.347,0.348,0.408,0.497,-0.080,-0.422,-0.516,-0.586,-0.763,-0.940,-0.994,-0.948,-0.954,-0.970,-0.979,-0.990,NearMiss
0.257,0.260,0.311,0.420,0.036,-0.435,-0.599,-0.600,-0.708,-0.923,-1.060,-0.986,-0.882,-0.991,-0.964,-0.931,NearMiss
0.313,0.307,0.350,0.393,0.099,-0.220,-0.475,-0.607,-0.703,-0.719,-0.879,-0.984,-0.935,-0.942,-0.959,-0.965,NearMiss
0.276,0.281,0.283,0.284,0.287,0.283,0.314,0.223,0.092,0.099,-0.046,-0.415,-0.526,-0.508,-0.674,-0.809,NearMiss
0.304,0.296,0.451,0.178,-0.256,-0.429,-0.578,-0.702,-0.892,-0.951,-0.873,-0.876,-0.975,-0.907,-0.893,-0.938,NearMiss
0.381,0.364,0.064,-0.402,-0.552,-0.088,0.061,-0.108,-0.099,-0.027,-0.276,-0.805,-0.693,-0.649,-0.775,-0.811,NearMiss
0.346,0.342,0.377,0.328,0.069,-0.231,-0.465,-0.591,-0.697,-0.817,-0.865,-0.885,-0.869,-0.839,-0.793,-0.789,NearMiss
0.144,0.115,0.110,-0.016,-0.421,-0.621,-0.678,-0.737,-0.798,-0.882,-0.865,-0.808,-0.853,-0.847,-0.819,-0.811,NearMiss
0.294,0.289,0.348,-0.106,-0.369,-0.318,-0.501,-0.814,-1.002,-0.925,-0.879,-0.972,-0.771,-0.625,-0.559,-0.458,NearMiss
0.236,0.204,0.202,0.226,0.062,-0.259,-0.554,-0.599,-0.669,-0.803,-0.881,-0.883,-0.849,-0.869,-0.871,-0.863,NearMiss
0.297,0.314,0.415,0.071,-0.375,-0.473,-0.615,-0.823,-0.956,-0.873,-0.961,-0.934,-0.894,-0.946,-0.905,-0.892,NearMiss
0.319,0.308,0.322,0.369,0.317,0.017,-0.295,-0.473,-0.612,-0.741,-0.842,-0.892,-0.901,-0.884,-0.861,-0.860,NearMiss
0.301,0.282,0.341,0.393,-0.078,-0.388,-0.547,-0.588,-0.750,-0.935,-0.967,-0.964,-0.962,-0.955,-0.980,-0.972,NearMiss
0.172,0.162,0.192,0.171,0.082,-0.220,-0.496,-0.539,-0.651,-0.824,-0.900,-0.884,-0.909,-0.879,-0.923,-0.903,NearMiss
