f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
159.594,106.344,33.049,1.773,1.182,0.367,0.547,1.981,1.166,0.309,1.676,3.175,0.000,2.000,5.000,1.786,1.503,0.260,0.436,1.378,0.812,0.436,1.294,0.804,0.217,-0.287,-0.052,2.941,4.314,5.190,NoTouching
129.718,106.500,17.270,1.491,1.224,0.199,0.558,2.003,1.052,0.374,1.636,5.301,0.000,1.000,5.000,1.489,1.513,0.059,0.384,1.332,0.716,0.384,1.258,0.691,1.063,-0.204,1.049,4.884,3.809,4.408,NoTouching
146.782,144.437,65.776,1.595,1.570,0.715,0.426,1.933,0.718,0.267,1.231,1.005,0.000,2.000,4.000,1.609,1.700,0.672,0.348,1.267,0.500,0.348,1.241,0.497,-0.010,-0.523,1.014,2.075,4.077,4.134,NoTouching
143.412,112.746,50.411,1.576,1.239,0.554,0.597,2.085,0.965,0.379,1.683,1.741,0.000,2.000,7.000,1.429,1.374,0.354,0.474,1.401,0.728,0.454,1.386,0.702,0.893,-0.150,0.390,3.341,3.957,4.162,NoTouching
158.782,94.396,66.228,1.707,1.015,0.712,0.567,2.067,0.606,0.332,2.036,0.851,0.000,2.000,5.000,1.723,1.339,0.724,0.400,1.368,0.415,0.399,1.306,0.414,0.173,-0.325,0.164,4.045,4.878,4.184,NoTouching
132.221,121.371,50.416,1.437,1.319,0.548,0.447,2.059,0.621,0.311,1.561,1.132,0.000,2.000,4.000,1.366,1.600,0.481,0.371,1.457,0.434,0.366,1.397,0.427,0.423,-0.500,1.264,2.284,3.344,4.959,NoTouching
149.691,126.619,33.412,1.645,1.391,0.367,0.765,1.910,0.775,0.465,1.373,2.112,0.000,1.000,7.000,1.535,1.625,0.243,0.635,1.291,0.522,0.626,1.235,0.506,0.352,-0.757,1.038,2.255,3.926,4.976,NoTouching
131.771,130.619,31.941,1.417,1.405,0.343,0.595,2.161,0.824,0.420,1.539,2.398,0.000,1.000,8.000,1.345,1.562,0.288,0.434,1.340,0.499,0.427,1.318,0.494,1.288,0.282,-0.195,4.630,5.828,7.406,NoTouching
-7.275,7.512,-87.876,-0.079,0.082,-0.955,0.054,0.259,0.059,-0.685,3.177,-0.062,2.000,3.000,0.000,-0.070,0.178,-0.959,0.041,0.237,0.047,0.040,0.237,0.046,-0.719,-0.068,-0.133,2.993,1.583,3.099,NoTouching
-11.450,26.695,-85.964,-0.124,0.290,-0.934,0.061,0.071,0.057,-0.493,0.244,-0.061,2.000,0.000,0.000,-0.137,0.308,-0.937,0.047,0.056,0.043,0.046,0.054,0.043,1.213,-0.747,-0.610,5.197,2.863,4.931,NoTouching
