f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.023,-0.016,-0.018,-0.005,0.001,-0.038,-0.180,-0.499,-0.638,-0.627,-0.599,-0.677,-0.917,-0.899,-1.032,-0.939,-0.926,-0.902,-0.842,0.400,0.991,0.991,0.987,1.001,0.993,1.063,1.173,61.623,0.405,0.195,0.482,0.385,0.145,0.142,0.000,1.075,3.535,Touching
-0.030,-0.038,-0.034,-0.016,-0.019,-0.160,-0.514,-0.655,-0.650,-0.656,-0.770,-0.890,-0.926,-0.908,-0.899,-0.757,-0.708,-0.703,-0.625,0.683,0.987,0.991,0.991,1.023,1.075,1.160,1.126,64.665,0.425,0.179,0.420,0.383,0.150,0.144,0.000,0.558,2.198,Touching
-0.009,-0.010,-0.015,0.005,-0.006,-0.168,-0.468,-0.657,-0.691,-0.637,-0.753,-0.887,-0.916,-1.041,-1.054,-0.920,-0.864,-0.902,-0.872,0.525,0.993,0.995,0.986,1.038,1.078,1.080,1.085,58.281,0.383,0.154,0.401,0.353,0.113,0.109,0.000,1.347,4.513,Touching
-0.006,-0.001,-0.000,0.013,-0.120,-0.446,-0.620,-0.721,-0.692,-0.688,-0.762,-0.805,-0.895,-0.876,-0.824,-0.740,-0.745,-0.718,-0.600,0.528,0.993,0.996,1.018,1.084,1.059,1.063,1.049,73.021,0.480,0.179,0.373,0.511,0.150,0.149,0.000,-0.329,2.083,Touching
-0.026,-0.023,-0.026,-0.016,-0.120,-0.451,-0.637,-0.737,-0.715,-0.769,-0.864,-0.902,-0.957,-0.984,-1.010,-0.892,-0.845,-0.992,-0.988,0.632,0.992,0.997,0.999,1.054,1.140,1.173,1.147,48.736,0.321,0.155,0.485,0.278,0.110,0.096,0.000,1.808,5.395,Touching
-0.012,-0.002,-0.031,-0.010,-0.018,-0.220,-0.490,-0.771,-0.778,-0.454,-0.572,-0.766,-0.909,-0.922,-0.889,-0.894,-0.861,-0.763,-0.639,0.372,0.992,1.003,0.977,1.036,1.073,1.029,1.154,62.954,0.414,0.200,0.482,0.348,0.168,0.159,0.000,0.756,2.416,Touching
-0.003,-0.011,-0.005,0.054,0.038,-0.260,-0.656,-0.847,-0.805,-0.654,-0.580,-0.714,-0.927,-1.014,-0.663,-0.618,-0.819,-0.814,-0.729,0.941,0.994,0.986,1.009,1.092,1.151,1.152,1.211,58.507,0.387,0.384,0.992,0.446,0.333,0.330,6.000,-0.257,2.123,Touching
-0.027,-0.026,-0.036,-0.034,-0.032,-0.002,-0.055,-0.269,-0.598,-0.760,-0.845,-0.798,-0.766,-0.820,-0.876,-0.939,-0.957,-0.873,-0.860,0.231,0.991,0.988,0.992,1.012,0.998,1.052,0.999,45.185,0.299,0.154,0.514,0.271,0.115,0.111,3.000,0.247,3.548,Touching
-0.060,-0.058,-0.052,-0.026,-0.164,-0.513,-0.669,-0.727,-0.624,-0.554,-0.609,-0.715,-0.868,-0.918,-0.876,-0.881,-0.808,-0.801,-0.666,0.651,0.976,0.993,1.000,1.026,0.991,1.100,1.240,67.453,0.447,0.303,0.679,0.486,0.242,0.235,3.000,-0.380,2.288,Touching
-0.035,-0.033,-0.033,-0.003,-0.123,-0.453,-0.820,-0.787,-0.656,-0.612,-0.627,-0.785,-0.896,-0.983,-0.905,-0.828,-0.812,-0.860,-1.012,0.734,0.983,0.987,1.013,1.042,1.110,1.175,1.344,53.135,0.352,0.241,0.686,0.306,0.180,0.173,0.000,1.197,4.094,Touching
-0.037,-0.025,-0.035,0.027,-0.218,-0.588,-0.838,-0.686,-0.485,-0.535,-0.757,-0.845,-0.823,-0.812,-0.732,-0.681,-0.631,-0.516,-0.441,0.706,0.989,1.001,1.009,1.079,1.029,1.055,1.298,80.133,0.527,0.247,0.468,0.565,0.205,0.203,0.000,-0.212,2.074,Touching
-0.018,-0.006,-0.010,0.023,0.034,-0.118,-0.530,-0.725,-0.632,-0.604,-0.716,-0.824,-0.812,-0.877,-0.871,-0.856,-0.925,-0.958,-0.986,-0.948,1.000,0.992,0.996,1.062,1.125,1.116,1.332,29.609,0.194,0.424,2.189,0.018,0.396,0.380,6.000,0.234,1.507,Touching
-0.027,-0.040,-0.022,0.015,-0.012,-0.183,-0.525,-0.682,-0.652,-0.665,-0.754,-0.784,-0.816,-0.855,-0.828,-0.836,-0.770,-0.775,-0.785,0.793,0.981,1.018,1.001,1.093,1.271,1.253,1.128,20.969,0.138,0.495,3.587,-0.128,0.468,0.447,1.000,0.332,1.313,Touching
-0.007,-0.013,-0.007,-0.004,0.010,0.008,-0.076,-0.369,-0.527,-0.587,-0.609,-0.653,-0.709,-0.851,-0.908,-0.958,-0.943,-0.935,-1.006,0.550,0.973,1.021,0.992,0.989,1.024,1.229,1.276,30.661,0.202,0.320,1.588,0.081,0.296,0.293,6.000,-0.130,1.537,Touching
0.020,0.007,0.017,0.023,0.008,-0.009,-0.277,-0.533,-0.703,-0.780,-0.778,-0.760,-0.784,-0.842,-1.012,-0.983,-0.909,-0.920,-0.957,0.461,0.982,0.993,1.009,1.025,1.099,0.995,0.978,55.861,0.370,0.186,0.503,0.325,0.150,0.143,0.000,0.796,2.612,Touching
0.014,0.016,-0.008,0.015,0.005,-0.029,-0.138,-0.466,-0.657,-0.806,-0.696,-0.672,-0.761,-0.828,-0.930,-0.917,-0.856,-0.833,-0.793,0.262,0.993,0.998,0.981,1.014,1.020,1.070,1.008,61.839,0.407,0.195,0.478,0.356,0.160,0.156,0.000,0.721,2.572,Touching
-0.014,-0.019,-0.011,0.004,0.015,-0.047,-0.299,-0.564,-0.649,-0.668,-0.690,-0.746,-0.859,-0.895,-0.918,-0.922,-0.871,-0.883,-0.844,0.175,0.995,0.979,0.996,1.036,1.088,1.120,1.220,-0.933,-0.006,0.224,-36.453,-0.092,0.209,0.206,1.000,-0.056,1.546,Touching
-0.046,-0.039,-0.027,-0.030,-0.050,-0.261,-0.578,-0.682,-0.705,-0.734,-0.833,-0.970,-0.952,-0.820,-0.834,-0.821,-0.753,-0.631,-0.439,0.834,0.994,0.998,0.994,1.097,1.186,1.095,1.061,64.561,0.425,0.328,0.773,0.403,0.295,0.294,4.000,0.093,1.569,Touching
-0.019,-0.013,-0.011,0.030,-0.068,-0.459,-0.715,-0.651,-0.556,-0.627,-0.767,-0.899,-0.947,-0.826,-0.790,-0.707,-0.652,-0.577,-0.395,0.863,0.990,0.979,1.007,1.072,1.227,1.207,1.277,75.302,0.499,0.210,0.421,0.466,0.163,0.161,0.000,0.806,3.050,Touching
