f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,class
-0.105,-0.043,-0.980,-0.107,-0.033,-0.981,-0.066,0.043,-1.049,-0.413,0.685,-0.949,-0.672,0.317,-0.310,-0.769,0.132,-0.265,-0.901,0.191,-0.345,-0.916,0.255,-0.277,-0.876,0.246,-0.293,-0.775,0.157,-0.350,-83.405,29.944,-89.965,-0.549,0.197,-0.592,0.346,0.229,0.352,-0.630,1.162,-0.595,Touching
-0.088,-0.162,-0.971,-0.082,-0.151,-1.009,-0.331,0.510,-0.981,-0.703,0.554,-0.361,-0.694,0.358,-0.177,-0.912,0.326,-0.041,-0.916,0.283,-0.017,-1.026,0.192,0.046,-0.958,0.261,0.004,-0.953,0.284,0.010,-98.979,37.023,-56.032,-0.651,0.244,-0.369,0.359,0.267,0.441,-0.551,1.097,-1.196,Touching
-0.111,-0.084,-0.979,-0.095,-0.101,-0.991,-0.335,0.370,-0.994,-0.845,0.818,-0.436,-0.781,0.342,-0.106,-0.874,0.284,-0.082,-0.834,0.189,-0.178,-0.857,0.231,-0.188,-0.848,0.298,-0.220,-0.814,0.389,-0.219,-95.801,40.657,-68.535,-0.630,0.267,-0.451,0.324,0.281,0.386,-0.514,1.049,-0.855,Touching
-0.061,-0.138,-0.974,-0.078,-0.084,-0.982,-0.065,-0.004,-0.997,-0.303,0.613,-0.882,-0.716,0.760,-0.382,-0.632,0.380,-0.214,-0.804,0.353,-0.193,-0.916,0.383,-0.153,-0.833,0.433,-0.151,-0.724,0.550,-0.290,-76.315,47.551,-81.170,-0.502,0.313,-0.534,0.342,0.314,0.376,-0.680,1.003,-0.705,Touching
-0.047,-0.041,-0.988,-0.026,-0.042,-1.019,-0.167,0.478,-0.974,-0.755,0.525,-0.479,-0.688,0.283,-0.397,-0.810,0.398,-0.289,-0.942,0.383,-0.271,-0.856,0.381,-0.286,-0.750,0.435,-0.205,-0.853,0.420,-0.274,-87.479,48.177,-80.722,-0.576,0.317,-0.531,0.356,0.251,0.330,-0.618,0.793,-0.620,Touching
-0.048,-0.069,-0.983,-0.008,-0.091,-1.041,-0.186,0.324,-1.101,-0.716,0.342,-0.684,-0.723,-0.313,-0.346,-0.815,-0.136,-0.377,-0.803,-0.165,-0.290,-0.885,-0.083,-0.435,-0.935,-0.080,-0.474,-0.942,-0.051,-0.497,-88.496,-4.679,-95.171,-0.586,-0.031,-0.630,0.362,0.232,0.310,-0.617,-7.489,-0.492,Touching
-0.041,-0.012,-0.989,-0.013,-0.049,-1.026,-0.213,0.337,-1.001,-0.781,0.692,-0.357,-0.744,0.432,-0.155,-0.759,0.425,-0.063,-1.033,0.412,-0.141,-0.945,0.158,-0.167,-0.699,0.357,-0.094,-1.066,0.585,-0.312,-91.120,48.119,-66.051,-0.603,0.319,-0.437,0.382,0.260,0.417,-0.633,0.817,-0.954,Touching
-0.068,0.487,-0.862,-0.046,0.489,-0.893,-0.124,0.757,-0.662,-0.767,0.881,-0.173,-0.836,0.200,-0.369,-0.802,0.074,-0.293,-0.898,-0.010,-0.280,-0.950,0.002,-0.263,-0.960,-0.081,-0.246,-1.073,-0.159,-0.345,-95.814,43.501,-67.413,-0.630,0.286,-0.444,0.390,0.356,0.277,-0.619,1.245,-0.625,Touching
-0.030,-0.043,-0.999,-0.112,0.058,-1.008,-0.320,0.293,-1.181,-0.664,0.259,-0.686,-0.442,-0.400,-0.298,-0.796,-0.388,-0.478,-0.877,-0.331,-0.336,-0.935,-0.297,-0.119,-0.948,-0.251,-0.135,-0.959,-0.204,-0.116,-89.646,-19.213,-84.776,-0.590,-0.126,-0.558,0.350,0.290,0.398,-0.593,-2.293,-0.714,Touching
-0.027,-0.074,-0.981,0.001,0.073,-1.074,-0.438,0.739,-0.780,-0.681,0.406,-0.276,-0.763,0.346,-0.317,-0.902,0.282,-0.222,-0.899,0.252,-0.237,-0.767,0.209,-0.424,-0.718,0.318,-0.523,-0.602,0.500,-0.765,-87.323,44.312,-82.691,-0.578,0.293,-0.548,0.336,0.239,0.324,-0.582,0.813,-0.592,Touching
-0.028,0.046,-0.985,-0.006,0.064,-1.019,-0.161,0.418,-0.952,-0.771,0.709,-0.263,-0.724,0.438,-0.215,-0.837,0.314,-0.048,-1.083,0.344,-0.040,-0.879,0.220,0.050,-0.893,0.274,-0.053,-1.144,0.394,0.032,-95.289,48.389,-56.115,-0.627,0.318,-0.369,0.408,0.210,0.439,-0.651,0.658,-1.188,Touching
-0.019,-0.017,-0.994,-0.003,-0.020,-1.011,-0.175,0.377,-0.966,-0.731,0.752,-0.469,-0.576,0.795,-0.192,-0.624,0.580,-0.094,-0.837,0.473,0.032,-0.830,0.554,0.017,-0.624,0.647,-0.156,-0.663,0.950,-0.229,-75.357,72.913,-62.930,-0.499,0.483,-0.417,0.319,0.313,0.425,-0.639,0.647,-1.021,Touching
-0.009,0.027,-0.988,-0.005,0.009,-1.001,-0.025,0.184,-1.018,-0.420,0.628,-0.846,-0.613,0.795,-0.416,-0.428,0.643,-0.290,-0.751,0.491,-0.193,-0.844,0.529,-0.153,-0.826,0.457,-0.218,-0.908,0.407,-0.111,-69.107,63.043,-82.747,-0.458,0.418,-0.548,0.347,0.272,0.373,-0.759,0.652,-0.680,Touching
-0.001,-0.037,-1.001,0.023,0.031,-1.106,-0.422,0.563,-0.964,-0.695,0.060,-0.371,-0.827,-0.242,-0.326,-0.782,0.011,-0.325,-1.009,-0.002,-0.470,-0.929,-0.053,-0.366,-0.792,0.023,-0.348,-0.917,0.011,-0.396,-94.299,5.756,-87.579,-0.620,0.038,-0.576,0.372,0.237,0.315,-0.599,6.258,-0.546,Touching
-0.001,-0.017,-0.987,0.003,-0.035,-1.001,-0.038,0.058,-1.128,-0.489,0.496,-1.025,-0.732,0.121,-0.515,-0.761,-0.195,-0.491,-0.772,-0.224,-0.449,-0.760,-0.347,-0.406,-0.704,-0.421,-0.441,-0.671,-0.384,-0.474,-73.429,-12.053,-106.895,-0.483,-0.079,-0.703,0.339,0.280,0.296,-0.701,-3.530,-0.420,Touching
-0.012,0.043,-0.988,0.010,0.054,-1.030,-0.128,0.409,-1.161,-0.616,0.403,-0.735,-0.546,-0.252,-0.372,-0.827,-0.258,-0.432,-0.734,-0.384,-0.487,-0.677,-0.406,-0.524,-0.821,-0.407,-0.454,-0.839,-0.362,-0.474,-76.336,-15.649,-102.719,-0.502,-0.103,-0.676,0.336,0.340,0.292,-0.668,-3.304,-0.432,Touching
0.533,-0.100,-0.760,0.385,-0.098,-0.758,0.317,-0.018,-0.837,0.379,0.065,-0.927,0.437,-0.086,-0.890,0.466,0.001,-0.903,0.457,0.088,-0.821,0.459,-0.025,-0.860,0.510,-0.110,-0.867,0.688,-0.086,-0.752,22.475,-1.760,-41.128,0.459,-0.036,-0.839,0.098,0.078,0.066,0.214,-2.173,-0.079,Touching
-0.000,-0.039,-0.990,0.003,-0.056,-0.994,-0.084,0.248,-1.039,-0.495,0.703,-0.751,-0.576,0.715,-0.256,-0.532,0.638,-0.175,-0.760,0.566,-0.022,-0.802,0.558,-0.042,-0.675,0.636,-0.191,-0.519,0.782,-0.357,-66.898,69.749,-74.186,-0.440,0.459,-0.488,0.309,0.307,0.412,-0.703,0.669,-0.844,Touching
-0.014,0.723,-0.686,-0.020,0.716,-0.703,-0.083,0.796,-0.677,-0.521,1.038,-0.431,-0.644,0.688,-0.172,-0.631,0.359,-0.236,-0.756,0.362,-0.263,-0.777,0.476,-0.274,-0.838,0.448,-0.200,-0.670,0.615,-0.211,-74.548,95.249,-60.170,-0.487,0.623,-0.393,0.324,0.229,0.222,-0.665,0.368,-0.564,Touching
-0.020,0.216,-0.967,-0.011,0.203,-0.973,-0.019,0.311,-0.976,-0.340,0.742,-0.816,-0.633,0.700,-0.336,-0.638,0.327,-0.236,-0.908,0.418,-0.057,-0.986,0.309,0.039,-0.914,0.421,0.016,-0.842,0.412,0.023,-78.210,61.623,-68.714,-0.515,0.405,-0.452,0.389,0.195,0.432,-0.756,0.482,-0.956,Touching
-0.034,0.217,-0.964,-0.025,0.219,-0.983,-0.089,0.485,-0.979,-0.584,0.725,-0.533,-0.653,0.447,-0.266,-0.830,0.320,-0.212,-0.917,0.375,-0.109,-0.828,0.459,-0.170,-0.705,0.599,-0.275,-0.625,0.389,-0.489,-79.659,64.665,-75.765,-0.524,0.425,-0.498,0.342,0.179,0.354,-0.652,0.420,-0.709,Touching
-0.009,0.247,-0.963,-0.005,0.258,-0.978,-0.087,0.437,-0.974,-0.563,0.735,-0.565,-0.664,0.444,-0.269,-0.820,0.374,-0.146,-0.978,0.342,-0.025,-0.987,0.366,0.010,-0.883,0.303,0.009,-0.872,0.271,-0.031,-86.908,58.281,-62.699,-0.572,0.383,-0.412,0.393,0.154,0.419,-0.687,0.401,-1.016,Touching
-0.004,0.174,-0.979,0.006,0.239,-1.023,-0.283,0.441,-0.900,-0.670,0.685,-0.334,-0.690,0.643,-0.080,-0.783,0.444,0.003,-0.886,0.431,0.027,-0.782,0.567,-0.043,-0.732,0.628,-0.223,-0.600,0.623,-0.407,-81.975,73.021,-60.098,-0.539,0.480,-0.395,0.327,0.179,0.416,-0.605,0.373,-1.052,Touching
-0.025,0.207,-0.972,-0.021,0.224,-1.002,-0.286,0.501,-0.975,-0.687,0.641,-0.457,-0.742,0.219,-0.224,-0.883,0.281,-0.181,-0.971,0.267,-0.072,-0.951,0.288,-0.081,-0.918,0.251,-0.051,-0.988,0.335,-0.087,-95.632,48.736,-64.945,-0.629,0.321,-0.427,0.378,0.155,0.401,-0.601,0.485,-0.938,Touching
-0.007,0.196,-0.978,-0.020,0.231,-0.979,-0.119,0.284,-0.994,-0.631,0.727,-0.694,-0.616,0.715,-0.135,-0.669,0.368,-0.030,-0.915,0.315,-0.121,-0.892,0.343,-0.070,-0.812,0.444,-0.134,-0.639,0.623,-0.237,-80.004,62.954,-68.049,-0.526,0.414,-0.448,0.356,0.200,0.413,-0.676,0.482,-0.923,Touching
