f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-36.216,40.096,-77.941,-0.329,0.365,-0.709,0.063,0.398,0.268,-0.192,1.093,-0.378,0.000,1.000,0.000,-0.340,0.400,-0.808,0.055,0.368,0.223,0.055,0.368,0.209,0.444,0.051,0.954,2.332,1.341,2.657,NoTouching
-44.021,89.553,18.177,-0.400,0.814,0.165,0.080,0.182,0.348,-0.199,0.223,2.104,0.000,0.000,3.000,-0.410,0.848,0.028,0.065,0.156,0.313,0.064,0.154,0.294,0.376,-0.074,0.436,2.426,2.042,1.667,NoTouching
-56.150,83.869,29.723,-0.510,0.762,0.270,0.078,0.068,0.238,-0.153,0.089,0.879,0.000,0.000,4.000,-0.525,0.782,0.266,0.065,0.055,0.199,0.064,0.052,0.199,0.330,-0.765,0.132,1.968,3.074,1.985,NoTouching
-38.424,81.088,59.469,-0.349,0.737,0.541,0.046,0.170,0.263,-0.132,0.231,0.487,0.000,0.000,2.000,-0.356,0.725,0.618,0.031,0.137,0.203,0.030,0.136,0.192,1.987,0.305,-1.019,8.509,3.329,3.088,NoTouching
-51.472,81.253,52.189,-0.468,0.739,0.474,0.063,0.113,0.238,-0.135,0.152,0.502,0.000,0.000,1.000,-0.454,0.728,0.532,0.048,0.094,0.184,0.045,0.093,0.182,-0.240,-0.177,-1.236,2.659,2.206,4.408,NoTouching
-40.334,55.208,-80.119,-0.367,0.502,-0.728,0.072,0.183,0.139,-0.197,0.364,-0.191,0.000,0.000,0.000,-0.375,0.446,-0.773,0.059,0.136,0.116,0.058,0.126,0.109,0.035,1.584,0.714,2.668,5.366,2.631,NoTouching
-46.643,83.367,-1.104,-0.424,0.758,-0.010,0.082,0.230,0.452,-0.193,0.303,-45.055,0.000,0.000,1.000,-0.417,0.744,0.176,0.063,0.171,0.419,0.062,0.170,0.405,-0.630,0.154,-0.249,3.619,3.906,1.478,NoTouching
-54.170,64.785,67.226,-0.492,0.589,0.611,0.052,0.147,0.151,-0.107,0.249,0.247,0.000,0.000,0.000,-0.509,0.602,0.649,0.040,0.128,0.120,0.038,0.128,0.115,1.290,0.363,-0.870,4.559,2.200,3.209,NoTouching
-44.806,50.804,-70.726,-0.407,0.462,-0.643,0.109,0.188,0.448,-0.268,0.406,-0.697,0.000,0.000,0.000,-0.419,0.432,-0.788,0.076,0.132,0.333,0.074,0.129,0.284,0.875,1.718,1.381,3.904,7.316,4.034,NoTouching
-46.794,52.093,-82.047,-0.425,0.474,-0.746,0.088,0.146,0.121,-0.206,0.309,-0.162,0.000,0.000,0.000,-0.424,0.455,-0.760,0.074,0.118,0.086,0.074,0.117,0.084,-0.264,0.313,0.717,2.451,2.535,4.243,NoTouching
215.247,152.278,35.009,1.957,1.384,0.318,0.593,2.066,0.804,0.303,1.493,2.526,0.000,2.000,9.000,1.857,1.526,0.222,0.482,1.417,0.590,0.475,1.408,0.586,0.079,-0.511,0.333,2.581,4.162,3.551,NoTouching
211.114,151.660,92.800,1.919,1.379,0.844,0.467,1.819,0.718,0.243,1.320,0.851,0.000,2.000,5.000,1.995,1.626,0.892,0.388,1.202,0.521,0.381,1.131,0.519,-0.595,-0.680,0.807,2.584,4.282,4.530,NoTouching
