f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.287,-0.296,-0.280,-0.291,-0.301,-0.284,-0.265,-0.212,-0.188,-0.253,-0.336,-0.354,-0.385,-0.410,-0.395,-0.388,-0.359,-0.330,-0.273,-0.110,0.991,0.990,0.985,0.972,0.985,0.973,0.936,10.629,0.142,0.275,1.943,-0.002,0.243,0.232,1.000,0.687,2.047,NoTouching
-0.417,-0.361,-0.370,-0.319,-0.297,-0.352,-0.401,-0.410,-0.445,-0.501,-0.519,-0.529,-0.497,-0.479,-0.390,-0.332,-0.276,-0.237,-0.243,0.855,0.905,0.719,1.022,0.977,0.984,0.944,0.996,65.437,0.872,0.151,0.173,0.880,0.122,0.122,0.000,-0.010,2.378,NoTouching
-0.391,-0.394,-0.411,-0.385,-0.404,-0.380,-0.415,-0.473,-0.507,-0.557,-0.597,-0.550,-0.548,-0.563,-0.539,-0.545,-0.507,-0.515,-0.521,0.817,1.041,1.066,1.109,0.974,1.019,1.004,1.020,58.359,0.778,0.055,0.070,0.793,0.045,0.043,0.000,-0.413,2.441,NoTouching
-0.383,-0.365,-0.368,-0.386,-0.417,-0.395,-0.403,-0.385,-0.336,-0.277,-0.178,-0.299,-0.328,-0.357,-0.367,-0.380,-0.356,-0.363,-0.364,0.654,1.005,0.991,1.008,1.020,1.113,1.151,1.138,55.562,0.741,0.188,0.253,0.699,0.148,0.145,0.000,0.324,3.152,NoTouching
-0.544,-0.552,-0.587,-0.572,-0.572,-0.531,-0.468,-0.446,-0.453,-0.450,-0.448,-0.455,-0.458,-0.453,-0.457,-0.453,-0.462,-0.469,-0.447,0.867,0.904,1.047,1.017,1.105,1.095,1.102,1.046,53.687,0.716,0.117,0.164,0.701,0.099,0.098,0.000,0.010,1.978,NoTouching
-0.402,-0.392,-0.379,-0.398,-0.411,-0.441,-0.339,-0.368,-0.379,-0.465,-0.478,-0.492,-0.462,-0.298,-0.257,-0.211,-0.339,-0.418,-0.411,0.330,1.018,0.959,0.931,0.904,0.935,0.775,0.890,41.404,0.552,0.201,0.364,0.506,0.155,0.149,0.000,1.088,3.859,NoTouching
-0.421,-0.397,-0.378,-0.349,-0.404,-0.492,-0.586,-0.602,-0.349,-0.395,-0.376,-0.497,-0.527,-0.485,-0.458,-0.426,-0.404,-0.438,-0.338,0.668,1.031,0.898,0.900,0.936,0.892,1.034,1.044,58.099,0.775,0.268,0.346,0.760,0.212,0.211,0.000,-0.037,3.046,NoTouching
-0.450,-0.472,-0.498,-0.523,-0.509,-0.484,-0.469,-0.480,-0.496,-0.510,-0.528,-0.559,-0.563,-0.542,-0.520,-0.541,-0.515,-0.405,-0.331,0.556,0.993,0.999,0.999,0.998,1.025,0.984,0.945,42.387,0.565,0.126,0.223,0.583,0.115,0.115,0.000,-0.016,1.543,NoTouching
-0.523,-0.616,-0.555,-0.514,-0.501,-0.435,-0.348,-0.295,-0.182,-0.123,-0.195,-0.309,-0.397,-0.422,-0.452,-0.470,-0.441,-0.456,-0.445,0.745,1.359,1.032,0.798,0.708,0.810,0.942,1.004,38.144,0.509,0.210,0.413,0.499,0.144,0.144,0.000,1.185,5.424,NoTouching
-0.630,-0.465,-0.274,-0.339,-0.299,-0.316,-0.419,-0.452,-0.479,-0.465,-0.443,-0.436,-0.411,-0.367,-0.364,-0.343,-0.338,-0.348,-0.366,0.255,0.817,0.886,0.792,1.136,1.000,1.024,1.000,31.546,0.421,0.108,0.257,0.440,0.087,0.086,0.000,-0.213,2.596,NoTouching
