f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.206,0.207,0.206,0.217,0.219,0.339,0.592,0.418,0.096,0.060,0.184,0.273,0.329,0.305,0.378,0.371,Touching
0.219,0.222,0.178,0.281,0.635,0.879,0.747,0.495,0.337,0.391,0.238,0.378,0.346,0.338,0.349,0.373,Touching
0.196,0.209,0.199,0.279,0.498,0.814,0.683,0.541,0.474,0.448,0.480,0.433,0.431,0.367,0.370,0.418,Touching
0.225,0.251,0.225,0.191,0.201,0.289,0.652,0.722,0.394,0.113,0.133,0.176,0.152,0.157,0.092,0.201,Touching
0.668,0.694,0.698,0.756,0.882,0.776,0.717,0.633,0.663,0.408,0.397,0.372,0.386,0.352,0.344,0.328,Touching
0.707,0.707,0.704,0.712,0.682,0.714,0.717,0.882,0.996,0.842,0.494,0.325,0.355,0.339,0.286,0.346,Touching
0.862,0.851,0.845,0.850,0.845,0.979,1.026,0.709,0.298,-0.022,-0.174,-0.201,-0.184,-0.160,-0.131,-0.166,Touching
0.819,0.811,0.815,0.816,0.843,1.004,0.957,0.864,0.562,0.404,0.378,0.420,0.422,0.546,0.694,0.697,Touching
0.758,0.767,0.762,0.823,0.902,0.846,0.573,0.167,0.035,0.151,0.251,0.138,0.111,0.328,0.485,0.568,Touching
0.597,0.617,0.607,0.603,0.613,0.644,0.658,0.599,0.561,0.199,-0.229,-0.389,-0.482,-0.551,-0.614,-0.616,Touching
0.734,0.732,0.735,0.728,0.709,0.684,0.693,0.646,0.703,0.677,0.467,0.228,0.217,0.280,0.285,0.368,Touching
0.573,0.620,0.581,0.605,0.711,0.705,0.736,0.375,-0.063,-0.130,0.082,0.093,0.095,0.053,0.087,0.012,Touching
0.547,0.603,0.569,0.558,0.570,0.652,0.737,0.837,0.647,0.392,0.375,0.480,0.338,0.306,0.454,0.447,Touching
0.487,0.575,0.563,0.494,0.533,0.570,0.703,0.688,0.416,0.318,0.147,0.212,0.217,0.200,0.217,0.209,Touching
0.445,0.472,0.505,0.659,0.663,0.432,0.127,0.148,0.186,0.239,0.349,0.278,0.223,0.235,0.229,0.328,Touching
0.536,0.574,0.584,0.560,0.551,0.545,0.584,0.683,0.822,0.713,0.566,0.527,0.494,0.546,0.619,0.635,Touching
0.375,0.411,0.452,0.473,0.803,0.806,0.588,0.465,0.501,0.512,0.135,0.136,0.394,0.341,0.381,0.274,Touching
0.491,0.536,0.538,0.518,0.446,0.359,0.211,-0.065,-0.434,-0.487,-0.345,-0.341,-0.239,-0.190,-0.177,-0.198,Touching
0.448,0.499,0.522,0.476,0.510,0.583,0.680,0.376,-0.002,-0.030,0.227,0.134,0.059,0.104,0.295,0.381,Touching
0.361,0.411,0.434,0.555,0.694,0.634,0.384,0.230,0.417,0.323,0.402,0.325,0.358,0.313,0.270,0.497,Touching
0.375,0.404,0.427,0.390,0.402,0.397,0.392,0.384,0.379,0.391,0.587,0.625,0.641,0.475,0.261,0.136,Touching
0.401,0.487,0.427,0.529,0.723,0.705,0.668,0.556,0.576,0.539,0.430,0.432,0.503,0.841,0.732,0.548,Touching
0.395,0.466,0.866,0.957,0.670,0.369,0.429,0.569,0.396,0.294,0.339,0.542,0.449,0.503,0.480,0.340,Touching
0.293,0.336,0.312,0.338,0.662,0.782,0.560,0.231,0.230,0.359,0.351,0.311,0.362,0.375,0.447,0.507,Touching
