f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.867,-0.845,-0.857,-0.964,-0.681,-0.272,-0.070,-0.146,-0.213,-0.160,-0.187,-0.244,-0.314,-0.313,-0.679,-0.973,Touching
-0.703,-0.674,-0.728,-0.858,-0.644,-0.332,-0.163,-0.217,-0.160,-0.106,-0.135,-0.170,-0.155,-0.153,-0.536,-0.772,Touching
-0.933,-0.944,-1.062,-1.018,-0.871,-0.628,-0.456,-0.332,-0.465,-0.320,-0.334,-0.563,-0.616,-0.763,-0.890,-0.978,Touching
-0.889,-0.866,-0.885,-1.079,-1.073,-0.818,-0.508,-0.405,-0.432,-0.479,-0.438,-0.445,-0.348,-0.384,-0.353,-0.314,Touching
-0.894,-0.874,-0.880,-0.984,-1.104,-0.803,-0.447,-0.205,-0.217,-0.389,-0.334,-0.436,-0.256,-0.264,-0.299,-0.495,Touching
-0.936,-0.923,-0.980,-1.071,-0.880,-0.420,-0.155,-0.201,-0.376,-0.523,-0.412,-0.462,-0.302,-0.257,-0.391,-0.599,Touching
-0.930,-0.915,-0.945,-1.087,-1.117,-0.633,-0.249,-0.262,-0.343,-0.314,-0.273,-0.175,-0.119,-0.128,-0.155,-0.103,Touching
-0.964,-0.965,-0.962,-0.968,-1.040,-1.226,-1.115,-0.552,-0.288,-0.317,-0.424,-0.384,-0.336,-0.204,-0.181,-0.184,Touching
-0.970,-0.965,-0.992,-1.052,-0.907,-0.403,-0.105,-0.053,-0.177,0.069,0.000,0.011,-0.089,-0.019,-0.030,-0.021,Touching
-0.975,-0.972,-1.000,-1.047,-0.778,-0.416,-0.152,-0.064,0.052,0.185,0.173,0.257,0.226,0.189,0.202,0.203,Touching
-0.973,-0.960,-0.974,-0.963,-1.008,-1.060,-0.953,-0.606,-0.309,-0.300,-0.404,-0.383,-0.485,-0.312,-0.419,-0.389,Touching
-0.745,-0.709,-0.757,-0.810,-0.540,-0.251,-0.141,-0.000,0.019,0.013,0.024,-0.062,-0.086,0.020,0.015,0.001,Touching
-0.683,-0.685,-0.689,-0.692,-0.699,-0.702,-0.633,-0.473,-0.233,-0.041,-0.110,-0.168,-0.031,-0.074,-0.015,0.017,Touching
-0.494,-0.504,-0.516,-0.516,-0.647,-0.613,-0.513,-0.374,-0.401,-0.495,-0.525,-0.527,-0.665,-0.683,-0.638,-0.714,Touching
-0.562,-0.561,-0.574,-0.577,-0.616,-0.634,-0.378,-0.118,-0.086,-0.098,-0.126,-0.178,-0.136,-0.145,-0.283,-0.391,Touching
-0.629,-0.632,-0.635,-0.715,-0.831,-0.635,-0.358,-0.257,-0.261,-0.351,-0.291,-0.340,-0.329,-0.317,-0.448,-0.685,Touching
-0.785,-0.779,-0.781,-0.784,-0.781,-0.812,-1.066,-1.035,-0.769,-0.397,-0.174,-0.244,-0.389,-0.410,-0.426,-0.382,Touching
-0.665,-0.666,-0.667,-0.676,-0.703,-0.721,-0.829,-0.778,-0.681,-0.494,-0.371,-0.304,-0.353,-0.265,-0.164,-0.173,Touching
-0.797,-0.789,-0.800,-0.808,-0.951,-0.897,-0.737,-0.485,-0.363,-0.444,-0.477,-0.494,-0.532,-0.533,-0.471,-0.384,Touching
-0.811,-0.800,-0.809,-0.823,-0.850,-0.891,-0.718,-0.490,-0.267,-0.157,-0.176,-0.098,0.029,-0.013,-0.066,0.001,Touching
-0.855,-0.827,-0.832,-0.858,-0.915,-0.947,-0.959,-0.704,-0.475,-0.477,-0.454,-0.436,-0.612,-0.551,-0.471,-0.521,Touching
-0.888,-0.876,-0.922,-1.109,-0.973,-0.632,-0.443,-0.566,-0.704,-0.643,-0.676,-0.592,-0.643,-0.616,-0.639,-0.690,Touching
-0.827,-0.812,-0.807,-0.809,-0.839,-0.858,-0.964,-0.779,-0.470,-0.253,-0.213,-0.151,-0.070,-0.026,-0.064,-0.208,Touching
-0.916,-0.902,-0.908,-0.987,-0.859,-0.370,-0.203,-0.096,-0.037,-0.096,-0.025,0.139,0.124,0.002,-0.091,0.032,Touching
-0.859,-0.841,-0.842,-0.888,-1.116,-1.262,-0.887,-0.475,-0.429,-0.595,-0.599,-0.504,-0.544,-0.526,-0.512,-0.560,Touching
-0.879,-0.860,-0.866,-0.927,-1.015,-0.965,-0.603,-0.444,-0.383,-0.435,-0.454,-0.399,-0.512,-0.480,-0.472,-0.570,Touching
-0.920,-0.905,-0.962,-1.097,-0.993,-0.582,-0.366,-0.349,-0.247,-0.361,-0.352,-0.351,-0.300,-0.309,-0.293,-0.254,Touching
