f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
0.454,0.175,-0.925,0.521,0.379,-1.074,-0.080,0.556,-0.831,-0.597,0.619,-0.490,-0.622,0.168,-0.339,-0.763,0.122,-0.412,-0.894,0.178,-0.463,-0.893,0.121,-0.359,-0.899,0.121,-0.307,-0.882,0.116,-0.327,Touching
0.515,0.008,-0.927,0.386,0.243,-1.100,-0.229,0.353,-1.207,-0.538,0.102,-0.457,-0.652,-0.287,-0.309,-0.765,-0.244,-0.332,-0.811,-0.154,-0.343,-0.936,-0.085,-0.477,-0.888,-0.010,-0.452,-0.855,-0.012,-0.451,Touching
0.467,0.153,-0.948,0.504,0.245,-1.071,-0.009,0.371,-1.122,-0.566,0.439,-0.680,-0.539,-0.015,-0.332,-0.698,-0.133,-0.375,-1.008,-0.138,-0.281,-0.878,-0.146,-0.400,-0.827,-0.131,-0.455,-0.898,-0.180,-0.291,Touching
-0.262,0.948,-0.165,-0.272,0.988,-0.258,-0.509,1.045,-0.297,-0.652,0.782,0.038,-0.698,0.447,-0.034,-0.802,0.265,-0.128,-0.901,0.233,-0.206,-0.947,0.200,-0.159,-0.965,0.141,-0.145,-1.005,0.056,-0.109,Touching
-0.188,0.823,-0.503,-0.208,0.893,-0.494,-0.422,1.043,-0.410,-0.673,0.780,-0.049,-0.723,0.392,0.030,-0.810,0.296,-0.087,-0.920,0.344,-0.124,-0.921,0.308,-0.075,-0.933,0.243,-0.162,-0.969,0.068,-0.183,Touching
0.323,0.264,-0.897,0.374,0.285,-0.924,0.251,0.514,-1.244,-0.297,0.389,-1.026,-0.575,-0.099,-0.336,-0.626,-0.275,-0.129,-0.845,-0.180,-0.426,-0.920,-0.104,-0.378,-0.907,-0.091,-0.375,-0.954,-0.076,-0.449,Touching
0.336,0.430,-0.833,0.347,0.425,-0.848,0.328,0.878,-1.026,-0.329,0.839,-0.617,-0.447,0.617,-0.215,-0.563,0.500,-0.138,-0.754,0.453,-0.132,-0.878,0.463,-0.099,-0.852,0.461,-0.101,-0.880,0.442,-0.109,Touching
0.355,0.479,-0.810,0.455,0.603,-0.965,-0.007,0.653,-1.168,-0.454,0.344,-0.663,-0.450,0.028,-0.340,-0.817,0.029,-0.375,-0.919,0.022,-0.329,-0.944,0.034,-0.313,-0.926,0.023,-0.293,-0.922,0.023,-0.270,Touching
0.349,0.423,-0.829,0.411,0.453,-0.872,0.274,0.793,-1.053,-0.434,0.801,-0.758,-0.536,0.108,-0.181,-0.692,-0.025,-0.239,-0.866,-0.044,-0.349,-1.026,-0.078,-0.322,-0.923,-0.061,-0.207,-0.806,-0.101,-0.317,Touching
0.356,0.374,-0.850,0.375,0.373,-0.867,0.424,0.617,-1.070,-0.224,0.810,-0.800,-0.533,0.612,-0.280,-0.545,0.414,-0.145,-0.779,0.279,-0.247,-0.921,0.265,-0.232,-0.958,0.302,-0.221,-0.965,0.243,-0.161,Touching
