f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-49.313,40.504,-99.316,-0.324,0.266,-0.653,0.509,0.265,0.330,-1.570,0.994,-0.506,1.000,8.000,0.000,-0.443,0.202,-0.582,0.466,0.193,0.296,0.455,0.172,0.294,0.280,1.411,-0.154,1.413,4.903,1.899,NearMiss
-59.052,43.548,-93.850,-0.388,0.287,-0.617,0.522,0.119,0.375,-1.344,0.415,-0.608,1.000,0.000,0.000,-0.647,0.283,-0.432,0.461,0.095,0.327,0.417,0.095,0.287,0.794,0.087,-0.860,2.107,2.413,2.481,NearMiss
-42.189,52.186,-96.589,-0.278,0.343,-0.635,0.516,0.290,0.270,-1.859,0.846,-0.424,1.000,2.000,0.000,-0.355,0.210,-0.510,0.471,0.222,0.258,0.468,0.186,0.248,0.144,1.491,-0.193,1.373,3.978,1.289,NearMiss
-68.952,24.435,-39.128,-0.457,0.162,-0.259,0.551,0.309,0.557,-1.207,1.910,-2.149,1.000,4.000,5.000,-0.744,0.134,0.057,0.479,0.250,0.501,0.447,0.249,0.424,0.757,0.832,-0.820,2.144,2.630,1.986,NearMiss
-65.950,51.815,-82.330,-0.437,0.343,-0.545,0.502,0.177,0.341,-1.150,0.516,-0.625,1.000,0.000,0.000,-0.698,0.289,-0.421,0.442,0.141,0.299,0.416,0.138,0.293,0.647,1.143,-0.538,1.844,3.695,1.963,NearMiss
-77.378,66.222,-67.407,-0.509,0.436,-0.443,0.381,0.168,0.418,-0.748,0.385,-0.942,1.000,0.000,4.000,-0.659,0.410,-0.183,0.343,0.126,0.392,0.309,0.124,0.345,0.581,0.861,-0.510,1.641,3.529,1.430,NearMiss
-64.540,32.509,-99.504,-0.425,0.214,-0.655,0.449,0.340,0.216,-1.058,1.591,-0.330,1.000,1.000,0.000,-0.593,0.172,-0.546,0.399,0.315,0.203,0.386,0.314,0.189,0.480,0.179,-0.381,1.653,1.455,1.494,NearMiss
-62.815,-7.950,-85.285,-0.413,-0.052,-0.561,0.512,0.339,0.457,-1.238,-6.472,-0.815,1.000,7.000,2.000,-0.550,-0.198,-0.353,0.455,0.264,0.406,0.438,0.254,0.369,0.557,1.153,-0.674,1.719,3.486,2.195,NearMiss
-75.285,17.439,-90.524,-0.495,0.115,-0.596,0.443,0.328,0.276,-0.894,2.858,-0.464,1.000,1.000,0.000,-0.737,-0.036,-0.443,0.392,0.302,0.252,0.360,0.289,0.221,0.759,0.447,-0.618,1.930,1.560,1.637,NearMiss
-67.131,69.270,-69.446,-0.442,0.456,-0.457,0.394,0.241,0.355,-0.893,0.528,-0.776,1.000,0.000,0.000,-0.482,0.412,-0.272,0.311,0.162,0.303,0.307,0.152,0.247,0.688,1.154,-1.077,2.273,4.576,2.480,NearMiss
-80.030,64.399,-54.464,-0.530,0.426,-0.361,0.383,0.130,0.451,-0.723,0.306,-1.251,1.000,0.000,10.000,-0.678,0.428,-0.103,0.333,0.102,0.410,0.293,0.102,0.343,0.825,0.217,-0.749,2.018,2.718,1.758,NearMiss
-74.167,10.016,-72.513,-0.488,0.066,-0.477,0.519,0.383,0.392,-1.064,5.817,-0.821,1.000,1.000,0.000,-0.656,-0.151,-0.216,0.451,0.295,0.362,0.428,0.271,0.314,0.688,1.388,-0.655,1.854,3.709,1.665,NearMiss
-43.872,60.121,-101.921,-0.289,0.396,-0.671,0.446,0.196,0.350,-1.546,0.495,-0.522,1.000,0.000,0.000,-0.388,0.381,-0.667,0.398,0.181,0.299,0.391,0.180,0.299,0.264,0.057,0.139,1.571,1.408,1.902,NearMiss
-86.488,61.230,-56.624,-0.565,0.400,-0.370,0.386,0.186,0.418,-0.683,0.465,-1.130,0.000,0.000,3.000,-0.687,0.331,-0.104,0.337,0.142,0.383,0.308,0.122,0.311,0.751,1.439,-0.776,1.889,3.862,1.744,NearMiss
-67.637,24.550,-93.360,-0.445,0.162,-0.614,0.448,0.361,0.264,-1.007,2.238,-0.429,1.000,1.000,0.000,-0.623,0.085,-0.478,0.405,0.336,0.245,0.387,0.334,0.232,0.514,0.144,-0.387,1.603,1.407,1.510,NearMiss
-69.470,36.805,-76.925,-0.457,0.242,-0.506,0.474,0.198,0.428,-1.036,0.818,-0.846,0.000,2.000,0.000,-0.618,0.206,-0.276,0.409,0.144,0.383,0.381,0.140,0.323,0.654,1.035,-0.850,1.937,3.783,2.166,NearMiss
-70.972,22.330,-89.665,-0.467,0.147,-0.590,0.461,0.336,0.300,-0.986,2.290,-0.508,1.000,1.000,0.000,-0.657,-0.003,-0.435,0.414,0.314,0.275,0.393,0.302,0.250,0.562,0.425,-0.540,1.663,1.542,1.667,NearMiss
-57.343,41.671,-96.591,-0.377,0.274,-0.635,0.514,0.230,0.272,-1.363,0.839,-0.428,1.000,3.000,0.000,-0.527,0.214,-0.506,0.476,0.211,0.254,0.468,0.209,0.242,0.284,0.396,-0.348,1.367,1.820,1.575,NearMiss
