f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-14.151,-1.727,-43.258,-0.283,-0.035,-0.865,0.049,0.108,0.080,-0.174,-3.134,-0.092,0.000,1.000,0.000,-0.287,-0.093,-0.910,0.035,0.088,0.071,0.035,0.077,0.067,0.310,1.289,0.695,3.140,3.524,2.028,NoTouching
-20.700,43.206,-5.106,-0.414,0.864,-0.102,0.076,0.133,0.118,-0.184,0.154,-1.152,0.000,0.000,2.000,-0.405,0.889,-0.077,0.064,0.108,0.101,0.063,0.107,0.101,-0.107,-0.440,-0.232,1.929,2.412,1.893,NoTouching
-22.962,38.754,23.895,-0.459,0.775,0.478,0.076,0.062,0.146,-0.166,0.080,0.306,0.000,0.000,0.000,-0.417,0.793,0.457,0.070,0.053,0.124,0.065,0.051,0.123,-0.525,-0.255,-0.094,1.713,2.003,2.144,NoTouching
-17.440,36.127,23.441,-0.349,0.723,0.469,0.066,0.204,0.339,-0.189,0.282,0.723,0.000,0.000,2.000,-0.373,0.685,0.631,0.051,0.156,0.307,0.045,0.150,0.276,1.469,0.494,-0.442,4.399,3.222,1.673,NoTouching
-25.237,38.586,19.419,-0.505,0.772,0.388,0.055,0.090,0.294,-0.110,0.117,0.757,0.000,0.000,1.000,-0.476,0.780,0.422,0.053,0.083,0.229,0.052,0.083,0.223,-0.215,0.108,-0.736,1.321,1.484,2.585,NoTouching
-20.738,27.487,-32.358,-0.415,0.550,-0.647,0.051,0.210,0.133,-0.122,0.382,-0.205,0.000,0.000,0.000,-0.403,0.489,-0.668,0.041,0.163,0.117,0.039,0.153,0.116,-0.466,1.247,0.422,2.620,4.004,1.904,NoTouching
-21.990,33.197,-23.148,-0.440,0.664,-0.463,0.092,0.246,0.218,-0.209,0.370,-0.472,0.000,0.000,1.000,-0.416,0.658,-0.560,0.074,0.171,0.175,0.070,0.170,0.161,-0.822,0.515,1.227,3.135,4.708,4.042,NoTouching
-25.040,27.500,32.561,-0.501,0.550,0.651,0.032,0.118,0.106,-0.063,0.215,0.163,0.000,0.000,0.000,-0.499,0.528,0.655,0.026,0.107,0.088,0.026,0.105,0.088,-0.405,0.362,-0.188,2.547,1.645,1.883,NoTouching
-19.172,26.340,-23.771,-0.383,0.527,-0.475,0.156,0.249,0.620,-0.407,0.472,-1.304,0.000,0.000,0.000,-0.397,0.505,-0.632,0.136,0.183,0.568,0.135,0.180,0.560,0.213,0.887,0.339,1.780,3.832,1.603,NoTouching
-20.884,19.988,-36.597,-0.418,0.400,-0.732,0.097,0.114,0.169,-0.231,0.286,-0.231,0.000,0.000,0.000,-0.432,0.435,-0.738,0.076,0.096,0.137,0.074,0.095,0.137,-0.360,-0.056,0.330,2.915,2.416,2.255,NoTouching
78.981,17.799,23.351,1.580,0.356,0.467,0.433,2.009,0.861,0.274,5.644,1.844,0.000,1.000,3.000,1.721,1.145,0.156,0.354,1.668,0.692,0.342,1.452,0.615,-0.222,-0.983,0.918,3.446,2.618,2.580,NoTouching
86.067,10.902,42.936,1.721,0.218,0.859,0.525,1.798,0.921,0.305,8.245,1.072,0.000,2.000,4.000,1.668,1.245,0.755,0.469,1.580,0.715,0.467,1.467,0.697,-0.181,-0.806,1.016,1.667,2.221,3.277,NoTouching
77.791,5.583,44.325,1.556,0.112,0.886,0.461,1.738,1.019,0.296,15.567,1.149,0.000,2.000,3.000,1.623,1.043,0.725,0.391,1.498,0.795,0.390,1.404,0.754,-0.305,-0.867,1.007,2.000,2.424,3.273,NoTouching
57.490,9.585,34.493,1.198,0.200,0.719,0.351,1.758,1.063,0.293,8.804,1.480,0.000,1.000,3.000,1.262,1.373,0.277,0.296,1.562,0.892,0.293,1.367,0.767,-0.419,-0.843,1.052,2.069,2.134,2.724,NoTouching
90.356,127.540,30.010,1.772,2.501,0.588,0.440,1.453,0.448,0.248,0.581,0.761,0.000,1.000,2.000,1.807,2.110,0.714,0.372,1.122,0.354,0.371,1.048,0.333,-0.643,0.679,-0.905,2.505,3.317,2.915,NoTouching
77.361,100.622,7.065,1.517,1.973,0.139,0.397,1.934,0.910,0.262,0.980,6.566,0.000,1.000,5.000,1.436,1.565,0.072,0.312,1.415,0.546,0.300,1.319,0.544,0.794,0.349,0.996,3.294,3.763,7.148,NoTouching
71.827,13.849,41.892,1.408,0.272,0.821,0.451,2.109,0.674,0.321,7.766,0.820,0.000,1.000,2.000,1.499,1.548,0.648,0.364,1.831,0.526,0.353,1.634,0.499,-0.795,-0.888,0.524,2.810,2.493,2.687,NoTouching
69.040,8.452,37.259,1.354,0.166,0.731,0.453,1.805,0.721,0.335,10.890,0.987,0.000,2.000,2.000,1.294,1.273,0.584,0.361,1.584,0.565,0.357,1.461,0.544,0.604,-0.825,0.975,2.472,2.278,3.153,NoTouching
79.497,36.035,34.195,1.559,0.707,0.670,0.861,2.057,0.846,0.552,2.911,1.262,0.000,1.000,3.000,1.445,1.655,0.435,0.760,1.792,0.654,0.755,1.538,0.613,0.294,-0.740,0.899,1.624,2.247,2.906,NoTouching
84.252,129.018,0.456,1.652,2.530,0.009,0.672,1.696,0.666,0.407,0.670,74.469,0.000,0.000,6.000,1.475,1.922,0.128,0.539,1.136,0.393,0.526,1.006,0.373,0.805,2.441,-2.931,3.021,9.206,12.561,NoTouching
-3.176,-4.226,-48.425,-0.062,-0.083,-0.950,0.049,0.222,0.057,-0.780,-2.684,-0.060,2.000,1.000,0.000,-0.057,-0.118,-0.941,0.034,0.166,0.046,0.034,0.163,0.045,-1.169,1.212,-0.881,4.963,3.491,3.554,NoTouching
-7.189,16.611,-47.008,-0.141,0.326,-0.922,0.041,0.034,0.043,-0.288,0.105,-0.046,0.000,0.000,0.000,-0.155,0.319,-0.928,0.033,0.027,0.035,0.030,0.027,0.035,1.081,0.560,0.042,3.028,2.853,2.480,NoTouching
-5.609,14.139,-47.895,-0.110,0.277,-0.939,0.047,0.081,0.042,-0.425,0.293,-0.045,4.000,0.000,0.000,-0.114,0.303,-0.941,0.034,0.070,0.030,0.034,0.069,0.030,0.588,-0.384,-0.070,4.412,2.116,4.085,NoTouching
-7.134,15.374,-48.129,-0.140,0.301,-0.944,0.021,0.043,0.036,-0.149,0.144,-0.038,0.000,0.000,0.000,-0.144,0.295,-0.941,0.014,0.034,0.019,0.013,0.033,0.018,2.192,0.348,-2.261,11.405,4.121,16.445,NoTouching
-5.314,11.329,-48.404,-0.104,0.222,-0.949,0.068,0.051,0.080,-0.653,0.230,-0.084,3.000,0.000,0.000,-0.110,0.223,-0.945,0.051,0.042,0.064,0.051,0.042,0.063,-0.032,0.063,-0.134,3.539,2.189,2.772,NoTouching
-7.385,14.050,-48.395,-0.145,0.275,-0.949,0.031,0.070,0.054,-0.213,0.255,-0.057,0.000,0.000,0.000,-0.145,0.273,-0.946,0.022,0.051,0.038,0.022,0.051,0.038,-0.694,0.493,-0.513,5.085,4.722,4.423,NoTouching
-6.130,12.800,-48.286,-0.120,0.251,-0.947,0.054,0.057,0.049,-0.449,0.227,-0.052,2.000,0.000,0.000,-0.112,0.245,-0.954,0.039,0.043,0.041,0.039,0.042,0.041,-0.536,0.440,0.151,3.974,3.385,2.300,NoTouching
-7.017,11.270,-47.833,-0.140,0.225,-0.957,0.046,0.078,0.050,-0.327,0.345,-0.053,0.000,0.000,0.000,-0.130,0.236,-0.950,0.034,0.057,0.040,0.032,0.055,0.040,-0.823,0.507,-0.294,4.263,4.455,2.941,NoTouching
-6.967,13.455,-48.531,-0.137,0.264,-0.952,0.077,0.066,0.066,-0.567,0.249,-0.070,2.000,0.000,0.000,-0.150,0.277,-0.938,0.049,0.045,0.047,0.047,0.043,0.044,1.199,0.537,-0.827,5.970,7.097,4.163,NoTouching
-7.115,14.562,-47.689,-0.140,0.286,-0.935,0.011,0.031,0.013,-0.077,0.109,-0.014,0.000,0.000,0.000,-0.140,0.287,-0.935,0.007,0.023,0.008,0.007,0.023,0.008,-0.680,-0.108,-0.789,6.333,3.919,11.678,NoTouching
