f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,class
0.295,0.286,-0.932,0.286,0.270,-0.919,0.289,0.260,-0.924,0.308,0.279,-1.010,0.350,0.331,-1.183,0.284,0.480,-1.276,0.098,0.666,-1.165,-0.138,0.801,-0.867,-0.347,0.753,-0.535,-0.507,0.588,-0.238,-0.569,0.353,-0.087,-0.593,0.258,0.050,-0.687,0.384,0.064,-0.812,0.405,0.090,-0.886,0.288,0.056,-0.912,0.239,0.022,-0.911,0.164,0.090,-0.902,0.158,0.086,-0.936,0.214,0.086,-0.965,0.214,0.044,-0.996,0.129,0.071,-0.994,0.079,0.077,-0.998,0.052,0.081,-0.980,0.007,0.069,-0.977,0.015,0.086,1.018,1.016,1.011,1.000,1.001,0.998,1.002,1.008,1.013,1.092,1.105,1.119,1.277,1.261,1.307,1.393,1.367,1.443,1.346,1.349,1.421,1.188,1.230,1.200,0.987,-75.182,46.071,-48.824,-0.495,0.303,-0.321,0.521,0.213,0.509,-1.053,0.702,-1.586,-0.703,0.272,0.037,0.464,0.161,0.467,0.440,0.156,0.397,1.000,2.000,1.000,0.605,0.857,-0.725,1.676,3.146,1.762,NearMiss
0.324,0.389,-0.957,0.300,0.375,-0.889,0.287,0.504,-0.987,0.052,0.937,-1.162,-0.232,1.098,-1.000,-0.390,0.941,-0.670,-0.350,0.781,-0.395,-0.347,0.579,-0.135,-0.423,0.488,0.019,-0.536,0.512,0.088,-0.347,0.763,-0.466,-0.794,0.347,-0.041,-0.874,0.603,-0.238,-0.834,0.392,-0.191,-0.759,0.454,-0.076,-0.739,0.569,0.021,-0.854,0.469,-0.091,-1.003,0.214,-0.389,-0.931,0.190,-0.458,-0.822,0.366,-0.247,-0.767,0.512,-0.173,-0.769,0.436,-0.262,-0.805,0.402,-0.336,-0.785,0.438,-0.334,-0.803,0.488,-0.310,1.083,1.076,1.071,1.010,1.006,1.061,1.145,1.110,1.362,1.494,1.511,1.615,1.503,1.535,1.427,1.219,1.207,1.087,0.942,0.941,0.782,0.688,0.730,0.660,0.646,-80.788,80.500,-58.704,-0.532,0.530,-0.386,0.405,0.228,0.381,-0.761,0.430,-0.986,-0.742,0.487,-0.306,0.338,0.165,0.300,0.308,0.156,0.283,3.000,0.000,6.000,0.973,1.079,-1.006,2.733,3.886,3.715,NearMiss
0.310,0.526,-0.789,0.308,0.511,-0.792,0.308,0.513,-0.801,0.314,0.509,-0.804,0.317,0.498,-0.827,0.333,0.524,-0.904,0.373,0.493,-0.994,0.336,0.579,-1.116,0.149,0.717,-1.185,-0.038,0.586,-1.091,-0.215,0.509,-0.989,-0.261,0.445,-0.891,-0.326,0.290,-0.761,-0.323,0.208,-0.748,-0.336,0.027,-0.731,-0.408,-0.172,-0.673,-0.476,-0.356,-0.483,-0.512,-0.420,-0.329,-0.547,-0.487,-0.182,-0.622,-0.478,-0.298,-0.674,-0.346,-0.781,-0.577,-0.259,-1.040,-0.512,-0.411,-0.845,-0.537,-0.480,-0.527,-0.521,-0.584,-0.434,0.997,0.997,0.989,0.991,0.991,0.993,1.000,1.002,0.999,1.002,1.003,0.997,1.016,1.021,1.034,1.097,1.110,1.095,1.170,1.159,1.198,1.301,1.266,1.335,1.393,-25.713,16.469,-115.172,-0.169,0.108,-0.758,0.378,0.453,0.262,-2.235,4.183,-0.345,-0.319,0.290,-0.793,0.348,0.426,0.203,0.329,0.414,0.197,1.000,1.000,0.000,0.312,-0.264,0.549,1.430,1.360,2.692,NearMiss
0.568,0.408,-0.760,0.559,0.427,-0.736,0.551,0.424,-0.740,0.546,0.425,-0.750,0.634,0.425,-0.833,0.723,0.458,-0.923,0.542,0.596,-1.029,0.190,0.946,-0.798,-0.167,1.201,-0.598,-0.384,1.139,-0.362,-0.455,0.961,-0.189,-0.514,0.645,-0.128,-0.592,0.415,-0.125,-0.619,0.187,-0.137,-0.593,-0.051,-0.176,-0.627,-0.202,-0.148,-0.736,-0.256,-0.178,-0.837,-0.243,-0.245,-0.891,-0.253,-0.255,-0.898,-0.243,-0.274,-0.911,-0.233,-0.229,-0.936,-0.256,-0.214,-0.930,-0.225,-0.253,-0.925,-0.225,-0.249,-0.953,-0.237,-0.222,1.033,1.027,1.035,1.018,1.013,1.012,1.015,1.012,1.013,1.020,1.070,1.070,1.130,1.182,1.194,1.259,1.164,1.225,1.307,1.204,1.411,1.252,1.249,1.452,1.352,-46.870,37.156,-63.559,-0.310,0.246,-0.421,0.616,0.479,0.294,-1.985,1.945,-0.699,-0.577,0.384,-0.255,0.551,0.419,0.269,0.506,0.416,0.235,1.000,1.000,0.000,0.571,0.490,-0.685,1.653,2.067,1.862,NearMiss
0.238,0.414,-0.890,0.228,0.407,-0.891,0.214,0.398,-0.876,0.220,0.378,-0.866,0.277,0.414,-0.927,0.292,0.415,-1.028,0.238,0.475,-1.126,0.117,0.628,-1.181,-0.146,0.756,-1.024,-0.290,0.715,-0.958,-0.447,0.701,-0.678,-0.544,0.486,-0.485,-0.600,0.317,-0.356,-0.663,0.187,-0.351,-0.676,0.103,-0.335,-0.711,-0.024,-0.362,-0.796,-0.046,-0.411,-0.846,-0.076,-0.412,-0.829,-0.183,-0.438,-0.809,-0.185,-0.420,-0.817,-0.281,-0.386,-0.809,-0.272,-0.375,-0.790,-0.315,-0.386,-0.796,-0.337,-0.393,-0.794,-0.348,-0.383,1.010,1.008,1.005,1.005,1.002,0.998,0.986,0.987,0.979,0.970,0.985,0.999,1.053,1.057,1.057,1.146,1.134,1.157,1.245,1.228,1.294,1.342,1.345,1.410,1.281,-58.826,27.537,-96.408,-0.387,0.181,-0.634,0.450,0.365,0.292,-1.163,2.015,-0.460,-0.606,0.285,-0.436,0.415,0.330,0.274,0.387,0.325,0.252,1.000,1.000,0.000,0.485,-0.081,-0.494,1.470,1.664,1.589,NearMiss
0.326,0.369,-0.923,0.316,0.347,-0.913,0.369,0.316,-0.992,0.387,0.300,-1.145,0.362,0.467,-1.319,0.063,0.736,-1.330,-0.297,0.841,-1.008,-0.385,0.658,-0.624,-0.409,0.385,-0.344,-0.496,0.181,-0.138,-0.646,0.035,-0.086,-0.666,-0.130,-0.163,-0.691,-0.210,-0.260,-0.812,-0.129,-0.284,-0.837,-0.124,-0.449,-0.893,-0.134,-0.513,-0.953,-0.099,-0.370,-0.950,-0.213,-0.210,-0.930,-0.172,-0.196,-0.890,-0.167,-0.419,-0.892,-0.154,-0.424,-0.940,-0.227,-0.262,-0.941,-0.170,-0.315,-1.025,-0.090,-0.455,-0.939,-0.173,-0.431,1.046,1.043,1.035,1.026,1.044,1.034,1.104,1.111,1.106,1.245,1.238,1.288,1.445,1.401,1.512,1.522,1.549,1.601,1.346,1.368,1.264,0.985,0.995,0.839,0.658,-78.379,14.199,-82.075,-0.516,0.093,-0.540,0.498,0.329,0.374,-0.967,3.526,-0.692,-0.685,-0.081,-0.406,0.427,0.289,0.312,0.395,0.265,0.290,1.000,1.000,0.000,0.849,0.860,-0.852,2.155,2.498,2.450,NearMiss
0.236,0.489,-0.899,0.219,0.437,-0.894,0.201,0.496,-0.923,0.079,0.827,-1.036,-0.128,1.201,-0.895,-0.396,1.412,-0.470,-0.458,1.029,0.025,-0.458,0.783,0.120,-0.363,0.259,0.046,-0.434,0.177,-0.150,-0.612,0.250,-0.150,-0.849,0.283,-0.069,-0.979,0.337,-0.137,-0.784,0.261,-0.178,-0.819,0.325,-0.089,-0.941,0.249,-0.207,-1.107,0.304,-0.235,-0.988,0.276,-0.171,-0.810,0.187,-0.142,-0.890,0.282,-0.117,-0.897,0.291,-0.257,-0.796,0.415,-0.279,-0.663,0.430,-0.290,-0.467,0.414,-0.390,-0.450,0.575,-0.244,1.050,1.046,1.023,1.019,1.015,1.042,1.067,1.051,1.242,1.328,1.332,1.592,1.504,1.550,1.718,1.540,1.557,1.220,1.127,1.126,0.907,0.915,0.871,0.462,0.448,-82.251,73.184,-48.429,-0.541,0.481,-0.319,0.394,0.322,0.332,-0.728,0.669,-1.043,-0.547,0.388,-0.198,0.324,0.239,0.261,0.324,0.218,0.235,1.000,0.000,2.000,0.660,1.586,-1.021,2.405,4.661,2.885,NearMiss
0.338,0.271,-0.959,0.315,0.275,-0.947,0.299,0.294,-0.963,0.302,0.393,-1.026,0.138,0.712,-0.988,-0.145,0.959,-0.747,-0.375,1.090,-0.390,-0.496,1.068,-0.013,-0.576,0.823,0.203,-0.607,0.634,0.250,-0.595,0.406,0.244,-0.523,0.247,0.087,-0.547,0.238,-0.013,-0.814,0.329,0.078,-0.964,0.271,0.044,-1.030,0.354,0.030,-1.006,0.309,0.026,-1.011,0.266,0.015,-1.016,0.237,0.044,-0.961,0.201,-0.020,-0.917,0.208,-0.019,-0.864,0.151,-0.021,-0.868,0.184,0.008,-0.907,0.197,-0.036,-0.913,0.320,-0.116,1.052,1.045,1.046,1.035,1.030,1.036,1.051,1.051,1.083,1.139,1.107,1.256,1.225,1.226,1.384,1.224,1.272,1.374,1.217,1.259,1.240,1.177,1.213,1.004,1.025,-84.502,63.210,-31.596,-0.556,0.416,-0.208,0.472,0.283,0.428,-0.849,0.679,-2.059,-0.618,0.297,-0.006,0.387,0.223,0.360,0.378,0.187,0.296,1.000,0.000,10.000,0.855,1.329,-1.020,2.312,3.435,2.395,NearMiss
0.473,0.146,-0.895,0.473,0.157,-0.913,0.490,0.156,-0.930,0.427,0.195,-0.977,0.491,0.194,-1.030,0.408,0.366,-1.146,0.195,0.501,-1.090,-0.150,0.878,-0.900,-0.324,0.890,-0.610,-0.431,0.744,-0.291,-0.510,0.511,-0.104,-0.565,0.303,-0.037,-0.601,0.318,-0.121,-0.705,0.312,-0.138,-0.799,0.393,-0.115,-0.869,0.436,-0.136,-0.878,0.489,-0.054,-0.847,0.439,-0.048,-0.879,0.529,0.000,-0.828,0.503,-0.037,-0.841,0.476,-0.099,-0.880,0.479,-0.025,-0.851,0.476,-0.033,-0.835,0.482,-0.021,-0.809,0.523,-0.066,1.023,1.022,1.024,1.040,1.048,1.048,1.063,1.035,1.042,1.084,1.111,1.111,1.158,1.125,1.167,1.270,1.219,1.266,1.215,1.209,1.408,1.266,1.299,1.306,1.127,-59.442,66.406,-58.998,-0.391,0.437,-0.388,0.538,0.200,0.426,-1.376,0.458,-1.098,-0.608,0.446,-0.122,0.474,0.154,0.395,0.437,0.154,0.335,1.000,0.000,6.000,0.713,0.614,-0.667,1.819,3.218,1.633,NearMiss
0.303,0.352,-0.911,0.300,0.326,-0.912,0.297,0.328,-0.924,0.269,0.397,-0.938,0.243,0.397,-0.945,0.193,0.507,-0.905,0.110,0.716,-0.912,-0.052,0.960,-0.882,-0.269,0.880,-0.674,-0.414,0.837,-0.492,-0.478,0.732,-0.375,-0.505,0.542,-0.292,-0.542,0.428,-0.298,-0.496,0.387,-0.361,-0.576,0.362,-0.452,-0.655,0.216,-0.265,-0.724,0.543,-0.951,-0.921,0.342,-0.539,-0.880,0.341,-0.503,-0.785,0.252,-0.488,-0.792,0.161,-0.411,-0.862,0.189,-0.487,-0.886,0.173,-0.505,-0.797,0.198,-0.473,-0.742,0.118,-0.447,1.023,1.022,1.013,1.014,1.013,1.014,1.024,1.016,1.041,1.053,1.047,1.047,1.053,1.043,1.089,1.055,1.043,1.159,1.165,1.161,1.325,1.305,1.331,1.274,1.141,-59.532,64.105,-92.976,-0.392,0.422,-0.612,0.445,0.246,0.261,-1.135,0.582,-0.426,-0.508,0.358,-0.505,0.390,0.196,0.229,0.371,0.188,0.214,1.000,1.000,2.000,0.457,0.762,-0.501,1.683,2.635,2.669,NearMiss
