f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-4.280,8.516,-28.327,-0.143,0.284,-0.944,0.012,0.023,0.018,-0.083,0.081,-0.019,0.000,0.000,0.000,-0.144,0.285,-0.941,0.009,0.020,0.012,0.009,0.020,0.011,1.352,0.124,-2.010,4.358,1.908,7.295,NoTouching
-2.519,6.440,-28.260,-0.084,0.215,-0.942,0.056,0.058,0.094,-0.669,0.271,-0.100,1.000,0.000,0.000,-0.083,0.206,-0.917,0.044,0.050,0.076,0.044,0.049,0.074,0.789,0.282,-0.315,3.291,1.944,2.349,NoTouching
-4.235,8.248,-28.285,-0.141,0.275,-0.943,0.017,0.046,0.022,-0.120,0.167,-0.023,0.000,0.000,0.000,-0.145,0.273,-0.945,0.014,0.038,0.017,0.014,0.038,0.017,0.213,-0.314,-0.578,2.587,2.087,4.056,NoTouching
-3.176,7.860,-28.289,-0.106,0.262,-0.943,0.049,0.063,0.049,-0.462,0.241,-0.052,2.000,0.000,0.000,-0.107,0.261,-0.937,0.036,0.048,0.041,0.035,0.048,0.041,-0.178,0.142,-0.381,4.973,3.137,2.364,NoTouching
-4.318,6.207,-28.632,-0.144,0.207,-0.954,0.057,0.095,0.061,-0.393,0.459,-0.064,0.000,0.000,0.000,-0.125,0.203,-0.950,0.045,0.073,0.052,0.044,0.072,0.051,-0.531,1.019,-0.353,2.899,3.877,2.236,NoTouching
-4.510,8.435,-28.092,-0.150,0.281,-0.936,0.019,0.017,0.024,-0.126,0.061,-0.025,0.000,0.000,0.000,-0.150,0.285,-0.936,0.016,0.014,0.016,0.016,0.014,0.016,-0.383,0.124,-0.886,2.633,2.717,5.013,NoTouching
-4.112,8.224,-28.162,-0.137,0.274,-0.939,0.009,0.024,0.005,-0.062,0.087,-0.006,0.000,0.000,0.000,-0.140,0.279,-0.938,0.006,0.018,0.004,0.006,0.017,0.004,1.550,-0.812,-0.365,4.524,2.870,2.491,NoTouching
-8.257,24.775,5.514,-0.275,0.826,0.184,0.033,0.051,0.081,-0.120,0.062,0.441,0.000,0.000,0.000,-0.263,0.831,0.214,0.030,0.045,0.069,0.028,0.045,0.066,-0.400,0.047,-0.524,1.680,1.724,1.975,NoTouching
-16.919,15.039,6.503,-0.564,0.501,0.217,0.036,0.124,0.058,-0.064,0.248,0.269,0.000,0.000,0.000,-0.575,0.494,0.220,0.031,0.107,0.045,0.030,0.106,0.045,0.586,0.487,0.035,1.857,2.057,2.272,NoTouching
-14.188,11.650,-4.753,-0.473,0.388,-0.158,0.106,0.178,0.036,-0.225,0.459,-0.224,0.000,0.000,0.000,-0.453,0.415,-0.155,0.097,0.158,0.030,0.097,0.157,0.030,-0.226,0.001,-0.066,1.617,1.596,1.928,NoTouching
-8.360,5.979,-28.198,-0.279,0.199,-0.940,0.016,0.026,0.033,-0.057,0.133,-0.035,0.000,0.000,0.000,-0.275,0.200,-0.944,0.013,0.021,0.028,0.013,0.021,0.027,-0.756,-0.060,0.174,2.988,2.296,2.024,NoTouching
-12.556,11.814,-22.044,-0.419,0.394,-0.735,0.094,0.140,0.098,-0.225,0.355,-0.134,0.000,0.000,0.000,-0.396,0.426,-0.735,0.076,0.113,0.083,0.073,0.112,0.083,-0.984,-0.286,0.100,3.014,2.437,2.100,NoTouching
-11.376,23.359,-14.597,-0.379,0.779,-0.487,0.032,0.135,0.136,-0.084,0.173,-0.279,0.000,0.000,0.000,-0.370,0.789,-0.480,0.026,0.119,0.109,0.025,0.118,0.109,-0.811,-0.134,0.216,2.267,1.577,2.470,NoTouching
-10.162,25.980,6.895,-0.350,0.896,0.238,0.020,0.044,0.047,-0.057,0.049,0.196,0.000,0.000,0.000,-0.354,0.886,0.246,0.016,0.035,0.039,0.016,0.034,0.039,0.636,0.267,0.095,2.636,2.542,2.042,NoTouching
-14.992,18.124,3.486,-0.500,0.604,0.116,0.088,0.530,0.235,-0.176,0.878,2.022,0.000,0.000,1.000,-0.532,0.496,0.128,0.078,0.438,0.206,0.072,0.427,0.206,0.353,1.055,-0.193,1.838,3.540,1.648,NoTouching
-5.671,2.993,-29.451,-0.189,0.100,-0.982,0.047,0.052,0.040,-0.250,0.516,-0.041,0.000,0.000,0.000,-0.162,0.100,-0.985,0.040,0.045,0.031,0.034,0.045,0.030,-1.095,0.166,1.048,2.650,1.841,3.059,NoTouching
-8.086,15.518,-23.677,-0.270,0.517,-0.789,0.015,0.074,0.033,-0.056,0.143,-0.042,0.000,0.000,0.000,-0.273,0.518,-0.785,0.012,0.059,0.026,0.011,0.059,0.026,0.937,0.303,0.482,3.230,2.263,2.632,NoTouching
11.957,27.441,6.780,0.399,0.915,0.226,0.465,0.349,0.546,1.166,0.382,2.414,4.000,0.000,2.000,0.415,0.945,0.315,0.383,0.291,0.457,0.383,0.291,0.453,0.064,0.334,0.003,2.176,2.467,2.006,NoTouching
11.358,20.953,20.896,0.379,0.698,0.697,0.481,0.233,0.615,1.269,0.333,0.883,2.000,0.000,2.000,0.337,0.740,0.732,0.380,0.202,0.527,0.377,0.202,0.524,0.331,-0.057,-0.254,2.747,1.892,2.008,NoTouching
10.092,17.543,23.329,0.336,0.585,0.778,0.335,0.183,0.260,0.996,0.313,0.335,3.000,0.000,0.000,0.340,0.604,0.865,0.261,0.145,0.213,0.261,0.145,0.207,0.044,0.413,-0.428,3.012,3.288,2.667,NoTouching
7.718,20.135,20.576,0.257,0.671,0.686,0.479,0.180,0.418,1.862,0.269,0.610,4.000,0.000,1.000,0.237,0.651,0.660,0.418,0.151,0.369,0.416,0.149,0.367,0.135,0.137,0.051,1.730,2.252,1.937,NoTouching
5.250,22.547,8.057,0.175,0.752,0.269,0.383,0.207,0.579,2.186,0.275,2.156,2.000,0.000,6.000,0.163,0.733,0.030,0.334,0.151,0.497,0.333,0.149,0.449,0.108,0.550,0.698,1.714,3.576,2.275,NoTouching
7.511,25.571,10.216,0.250,0.852,0.341,0.461,0.359,0.815,1.842,0.421,2.392,2.000,0.000,2.000,0.320,0.856,0.372,0.376,0.277,0.680,0.369,0.277,0.680,-0.409,0.540,-0.149,2.346,3.318,2.130,NoTouching
7.057,21.717,14.275,0.235,0.724,0.476,0.578,0.171,0.657,2.456,0.237,1.381,6.000,0.000,2.000,0.164,0.691,0.768,0.455,0.133,0.586,0.449,0.129,0.553,0.556,0.538,-0.221,2.915,3.449,1.873,NoTouching
15.134,-11.285,-21.699,0.504,-0.376,-0.723,0.344,0.610,0.431,0.682,-1.622,-0.596,2.000,4.000,0.000,0.477,-0.417,-0.598,0.246,0.449,0.307,0.244,0.445,0.268,1.227,1.328,-1.678,4.545,4.623,4.635,NoTouching
