f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-2.901,-1.195,-9.394,-0.290,-0.120,-0.939,0.006,0.007,0.003,-0.021,-0.056,-0.003,0.000,0.000,0.000,-0.288,-0.120,-0.938,0.005,0.005,0.002,0.005,0.005,0.002,-0.239,0.061,-0.134,1.710,2.185,2.529,NoTouching
-3.841,7.428,-0.693,-0.384,0.743,-0.069,0.031,0.122,0.038,-0.081,0.164,-0.545,0.000,0.000,0.000,-0.378,0.790,-0.069,0.028,0.109,0.034,0.028,0.109,0.034,0.016,-0.039,0.208,1.647,1.702,1.731,NoTouching
-3.976,7.191,6.827,-0.398,0.719,0.683,0.016,0.046,0.015,-0.040,0.063,0.022,0.000,0.000,0.000,-0.393,0.715,0.682,0.015,0.041,0.013,0.015,0.040,0.013,0.064,0.526,-0.081,1.520,1.742,1.620,NoTouching
-3.721,6.766,6.318,-0.372,0.677,0.632,0.009,0.011,0.015,-0.025,0.017,0.024,0.000,0.000,0.000,-0.366,0.683,0.636,0.009,0.010,0.013,0.008,0.008,0.013,-0.562,-1.033,-0.323,1.746,2.768,1.681,NoTouching
-5.557,7.967,-1.060,-0.556,0.797,-0.106,0.017,0.098,0.115,-0.031,0.122,-1.083,0.000,0.000,1.000,-0.545,0.819,-0.087,0.015,0.088,0.094,0.012,0.084,0.094,-0.983,-0.166,-0.210,2.368,1.500,2.043,NoTouching
-3.934,4.495,-7.734,-0.393,0.449,-0.773,0.012,0.049,0.016,-0.030,0.110,-0.021,0.000,0.000,0.000,-0.392,0.449,-0.773,0.010,0.044,0.013,0.010,0.044,0.013,0.110,0.282,0.024,1.761,1.599,2.205,NoTouching
-4.042,7.775,-3.531,-0.404,0.778,-0.353,0.015,0.097,0.049,-0.037,0.124,-0.138,0.000,0.000,0.000,-0.396,0.781,-0.333,0.013,0.083,0.038,0.013,0.083,0.036,-0.054,0.370,-1.244,1.626,1.966,3.470,NoTouching
-4.665,7.280,4.954,-0.466,0.728,0.495,0.016,0.018,0.020,-0.034,0.024,0.041,0.000,0.000,0.000,-0.459,0.732,0.491,0.014,0.016,0.018,0.014,0.016,0.017,-0.245,0.207,0.725,1.682,1.639,2.281,NoTouching
-5.700,8.473,4.352,-0.570,0.847,0.435,0.052,0.250,0.144,-0.091,0.295,0.331,0.000,0.000,0.000,-0.573,0.865,0.510,0.040,0.229,0.128,0.040,0.229,0.117,1.139,0.302,-0.617,3.455,1.459,1.900,NoTouching
-4.920,4.232,-4.661,-0.492,0.423,-0.466,0.143,0.167,0.055,-0.291,0.394,-0.118,0.000,0.000,0.000,-0.511,0.451,-0.445,0.129,0.151,0.043,0.125,0.151,0.039,0.478,0.038,-1.180,1.631,1.529,3.654,NoTouching
20.456,23.740,-4.594,2.046,2.374,-0.459,0.317,0.141,0.144,0.155,0.059,-0.313,0.000,0.000,0.000,1.948,2.363,-0.452,0.279,0.118,0.111,0.259,0.116,0.111,0.801,-0.056,0.105,2.141,2.085,2.359,NoTouching
21.264,17.269,6.774,2.126,1.727,0.677,0.113,0.087,0.193,0.053,0.050,0.284,0.000,0.000,0.000,2.152,1.730,0.782,0.087,0.074,0.169,0.083,0.074,0.149,-1.023,0.454,-0.798,3.207,2.078,2.305,NoTouching
15.748,6.257,5.412,1.575,0.626,0.541,0.159,1.009,1.030,0.101,1.612,1.903,0.000,1.000,1.000,1.653,0.916,0.256,0.142,0.941,0.807,0.142,0.941,0.711,-0.200,0.012,1.338,1.550,1.365,3.549,NoTouching
8.333,-19.324,22.477,0.926,-2.147,2.497,0.302,1.170,0.624,0.327,-0.545,0.250,0.000,0.000,0.000,0.895,-2.513,2.726,0.278,1.058,0.508,0.275,1.017,0.483,0.142,0.405,-1.000,1.443,1.668,3.122,NoTouching
20.827,9.666,-1.883,2.083,0.967,-0.188,0.242,0.826,0.208,0.116,0.855,-1.107,0.000,1.000,1.000,2.217,1.328,-0.194,0.206,0.688,0.163,0.178,0.672,0.161,-1.075,-0.781,0.596,2.716,2.371,2.871,NoTouching
21.266,49.068,-7.676,2.127,4.907,-0.768,0.296,1.239,0.796,0.139,0.253,-1.037,0.000,0.000,1.000,2.133,5.107,-0.501,0.232,0.998,0.651,0.232,0.998,0.628,-0.029,0.267,-0.747,2.001,2.307,2.412,NoTouching
15.916,21.915,6.923,1.592,2.192,0.692,0.087,0.419,0.138,0.055,0.191,0.199,0.000,0.000,0.000,1.614,2.365,0.616,0.081,0.387,0.117,0.081,0.387,0.101,0.074,-0.143,0.996,1.370,1.382,2.463,NoTouching
14.215,15.606,6.977,1.421,1.561,0.698,0.058,0.071,0.197,0.041,0.045,0.283,0.000,0.000,0.000,1.463,1.585,0.792,0.053,0.053,0.174,0.049,0.049,0.168,-0.630,-1.485,-0.499,1.705,4.245,1.714,NoTouching
10.070,-25.836,21.386,1.007,-2.584,2.139,0.468,0.767,0.390,0.465,-0.297,0.182,0.000,0.000,0.000,0.803,-2.354,2.288,0.429,0.652,0.323,0.388,0.652,0.323,0.567,0.147,-0.561,1.634,2.106,2.291,NoTouching
19.156,16.494,-0.938,1.916,1.649,-0.094,0.265,0.481,0.166,0.138,0.292,-1.769,0.000,0.000,2.000,2.038,1.577,-0.049,0.231,0.375,0.148,0.231,0.361,0.148,-0.213,-0.055,-0.009,1.910,2.587,1.635,NoTouching
-0.442,-2.827,-8.942,-0.044,-0.283,-0.894,0.018,0.011,0.021,-0.402,-0.039,-0.024,0.000,0.000,0.000,-0.035,-0.280,-0.885,0.015,0.009,0.018,0.015,0.009,0.018,-0.757,0.076,-0.508,2.287,1.687,2.023,NoTouching
-1.691,3.587,-8.778,-0.169,0.359,-0.878,0.004,0.040,0.025,-0.024,0.110,-0.029,0.000,0.000,0.000,-0.169,0.370,-0.869,0.003,0.035,0.020,0.003,0.033,0.020,-0.256,-0.288,-0.931,2.384,1.747,3.378,NoTouching
-1.377,3.432,-9.368,-0.138,0.343,-0.937,0.013,0.009,0.019,-0.093,0.026,-0.020,0.000,0.000,0.000,-0.139,0.345,-0.932,0.010,0.007,0.015,0.010,0.007,0.014,0.966,0.230,-0.791,3.326,2.245,2.260,NoTouching
-1.326,2.589,-9.523,-0.133,0.259,-0.952,0.015,0.008,0.027,-0.110,0.032,-0.028,0.000,0.000,0.000,-0.134,0.263,-0.941,0.012,0.007,0.023,0.012,0.007,0.018,0.162,-0.582,-1.144,2.073,2.241,2.754,NoTouching
-0.256,2.229,-8.843,-0.026,0.223,-0.884,0.046,0.056,0.096,-1.793,0.253,-0.109,1.000,0.000,0.000,-0.047,0.210,-0.836,0.041,0.049,0.081,0.036,0.046,0.079,0.780,0.200,-0.851,1.885,1.878,2.643,NoTouching
-1.298,2.643,-9.434,-0.130,0.264,-0.943,0.022,0.024,0.034,-0.166,0.091,-0.036,0.000,0.000,0.000,-0.121,0.265,-0.927,0.018,0.018,0.029,0.016,0.018,0.029,-0.984,0.070,-0.444,2.850,2.912,2.043,NoTouching
-1.438,2.963,-9.572,-0.144,0.296,-0.957,0.043,0.043,0.028,-0.296,0.146,-0.029,0.000,0.000,0.000,-0.136,0.281,-0.951,0.027,0.036,0.023,0.027,0.030,0.022,-1.332,0.686,-0.114,5.093,2.437,2.169,NoTouching
-1.749,1.306,-9.600,-0.175,0.131,-0.960,0.066,0.049,0.076,-0.378,0.376,-0.079,0.000,0.000,0.000,-0.175,0.125,-0.967,0.056,0.037,0.067,0.056,0.036,0.066,-0.014,1.268,-0.074,1.830,4.063,1.576,NoTouching
-1.552,2.788,-9.377,-0.155,0.279,-0.938,0.024,0.024,0.036,-0.154,0.088,-0.039,0.000,0.000,0.000,-0.157,0.271,-0.937,0.020,0.021,0.027,0.019,0.020,0.027,-0.129,0.531,-0.601,2.112,1.835,2.491,NoTouching
-1.307,2.549,-9.414,-0.131,0.255,-0.941,0.012,0.029,0.007,-0.089,0.116,-0.007,0.000,0.000,0.000,-0.130,0.247,-0.942,0.010,0.026,0.006,0.010,0.025,0.006,0.210,0.458,0.469,1.502,1.615,1.887,NoTouching
-3.117,8.719,2.657,-0.312,0.872,0.266,0.017,0.026,0.019,-0.056,0.030,0.071,0.000,0.000,0.000,-0.313,0.875,0.273,0.014,0.023,0.017,0.014,0.023,0.017,0.556,-0.089,-0.354,2.390,1.539,1.848,NoTouching
